district,period,as_on_date,fy,acp_target_achievement__acp_agri_achievement,acp_target_achievement__acp_agri_pct,acp_target_achievement__acp_agri_target,acp_target_achievement__acp_msme_achievement,acp_target_achievement__acp_msme_pct,acp_target_achievement__acp_msme_target,acp_target_achievement__acp_other_psa_achievement,acp_target_achievement__acp_other_psa_pct,acp_target_achievement__acp_other_psa_target,acp_target_achievement__acp_total_achievement,acp_target_achievement__acp_total_pct,acp_target_achievement__acp_total_target,atm_network__atm_rural,atm_network__atm_rural_growth_abs,atm_network__atm_rural_growth_pct,atm_network__atm_rural_prev_fy,atm_network__atm_rural_prev_q,atm_network__atm_semi_urban,atm_network__atm_semi_urban_growth_abs,atm_network__atm_semi_urban_growth_pct,atm_network__atm_semi_urban_prev_fy,atm_network__atm_semi_urban_prev_q,atm_network__atm_total_growth_abs,atm_network__atm_total_growth_pct,atm_network__atm_total_prev_fy,atm_network__atm_total_prev_q,atm_network__atm_urban,atm_network__atm_urban_growth_abs,atm_network__atm_urban_growth_pct,atm_network__atm_urban_prev_fy,atm_network__atm_urban_prev_q,atm_network__total_atm,branch_network__branch_rural,branch_network__branch_rural_growth_abs,branch_network__branch_rural_growth_pct,branch_network__branch_rural_prev_fy,branch_network__branch_rural_prev_q,branch_network__branch_semi_urban,branch_network__branch_semi_urban_growth_abs,branch_network__branch_semi_urban_growth_pct,branch_network__branch_semi_urban_prev_fy,branch_network__branch_semi_urban_prev_q,branch_network__branch_total_growth_abs,branch_network__branch_total_growth_pct,branch_network__branch_total_prev_fy,branch_network__branch_total_prev_q,branch_network__branch_urban,branch_network__branch_urban_growth_abs,branch_network__branch_urban_growth_pct,branch_network__branch_urban_prev_fy,branch_network__branch_urban_prev_q,branch_network__total_branch,credit_deposit_ratio__advances_growth_abs,credit_deposit_ratio__advances_growth_pct,credit_deposit_ratio__advances_prev_fy,credit_deposit_ratio__advances_prev_quarter,credit_deposit_ratio__cd_ratio_benchmark,credit_deposit_ratio__cd_ratio_prev_fy,credit_deposit_ratio__cd_ratio_prev_quarter,credit_deposit_ratio__deposits_growth_abs,credit_deposit_ratio__deposits_growth_pct,credit_deposit_ratio__deposits_prev_fy,credit_deposit_ratio__deposits_prev_quarter,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Rajnandgaon,March 2024,31-03-2024,2023-24,1415.71,71.1716,1989.15,940.14,471.9341,199.21,243.07,125.3197,193.96,2598.92,109.092,2382.32,22,3,15.7895,19,20,16,-3,-15.7895,19,19,5,3.937,127,128,94,5,5.618,89,89,132,51,2,4.0816,49,48,22,0,0,22,22,5,4.0984,122,124,54,3,5.8824,51,54,127,909.87,24.3597,3735.14,4592.35,40,54.6502,56.7483,1641.65,24.0196,6834.63,8092.49,54.8001,4645.01,8476.28
Sakti,March 2024,31-03-2024,2023-24,492.61,73.3553,671.54,324.46,181.7194,178.55,61.59,114.6074,53.74,878.66,97.2152,903.83,20,4,25,16,19,22,0,0,22,24,3,7.6923,39,44,0,-1,-100,1,1,42,32,0,0,32,32,21,0,0,21,21,0,0,53,53,0,0,0,0,0,53,185.47,15.7298,1179.1,1416.21,40,48.3864,51.1027,885.9,36.3545,2436.84,2771.3,41.0676,1364.57,3322.74
Sarangarh-Bilaigarh,March 2024,31-03-2024,2023-24,506.25,94.5784,535.27,132.83,56.5282,234.98,15.01,48.6863,30.83,654.09,81.651,801.08,15,3,25,12,15,29,1,3.5714,28,28,4,9.7561,41,44,1,0,0,1,1,45,31,1,3.3333,30,31,18,2,12.5,16,17,3,6.5217,46,48,0,0,0,0,0,49,185.83,19.8885,934.36,1152.27,40,50.4849,53.7246,642.43,34.7115,1850.77,2144.77,44.9298,1120.19,2493.2
Sukma,March 2024,31-03-2024,2023-24,65.62,59.8177,109.7,37.44,210.5737,17.78,6.25,94.2685,6.63,109.31,81.5077,134.11,7,1,16.6667,6,7,9,-1,-10,10,9,0,0,16,16,0,0,0,0,0,16,27,1,3.8462,26,26,6,0,0,6,6,1,3.125,32,32,0,0,0,0,0,33,82.34,20.7395,397.02,471.2,40,41.8736,44.1161,203.21,21.4325,948.14,1068.09,41.6346,479.36,1151.35
Surajpur,March 2024,31-03-2024,2023-24,445.67,70.829,629.22,338.35,386.024,87.65,53.3,61.9191,86.08,837.32,104.2805,802.95,16,3,23.0769,13,16,38,0,0,38,40,3,5.6604,53,58,2,0,0,2,2,56,59,2,3.5088,57,59,26,1,4,25,26,3,3.5294,85,88,3,0,0,3,3,88,272.78,18.2139,1497.65,1778.02,40,35.1187,38.7459,710.99,16.6721,4264.54,4588.93,35.5827,1770.43,4975.53
Surguja,March 2024,31-03-2024,2023-24,679.42,74.1895,915.79,1059.59,380.3949,278.55,103.34,297.8956,34.69,1842.35,149.9028,1229.03,28,5,21.7391,23,26,2,1,100,1,2,6,5.7143,105,110,81,0,0,81,82,111,57,0,0,57,57,3,0,0,3,3,0,0,104,104,44,0,0,44,44,104,585.71,17.2059,3404.12,3898.09,40,49.113,50.1974,1740.89,25.1167,6931.2,7765.52,46.0077,3989.83,8672.09
Balod,June 2024,30-06-2024,2024-25,465.01,38.7121,1201.2,164.89,41.2235,399.99,12.93,13.3326,96.98,642.83,37.8543,1698.17,38,0,0,38,39,46,-2,-4.1667,48,48,-2,-2.2989,87,88,1,0,0,1,1,85,70,1,1.4493,69,69,38,1,2.7027,37,37,2,1.8692,107,107,1,0,0,1,1,109,264.23,13.3782,1975.08,2000.1,40,34.3983,43.4079,-191.31,-3.3319,5741.8,4607.69,40.3444,2239.31,5550.49
Baloda Bazar,June 2024,30-06-2024,2024-25,904.54,44.9827,2010.86,323.99,47.6218,680.34,24.07,18.5425,129.81,1252.6,44.4025,2821.01,26,3,13.0435,23,21,69,0,0,69,71,3,3.1915,94,94,2,0,0,2,2,97,49,0,0,49,48,64,0,0,64,64,0,0,113,112,0,0,,0,0,113,421.17,12.1121,3477.27,3310.41,40,54.9519,65.9576,-264.84,-4.1853,6327.84,5019,64.2989,3898.44,6063
Balrampur,June 2024,30-06-2024,2024-25,81.46,15.528,524.6,92.22,52.2315,176.56,5.7,12.0609,47.26,179.38,23.9678,748.42,21,2,10.5263,19,18,18,0,0,18,17,2,5.1282,39,36,2,0,0,2,1,41,61,1,1.6667,60,57,12,0,0,12,12,1,1.3699,73,70,1,0,0,1,1,74,49.83,4.403,1131.72,1013.55,40,37.5065,44.2191,-136.96,-4.539,3017.4,2292.11,41.0198,1181.55,2880.44
Bastar,June 2024,30-06-2024,2024-25,233.08,31.012,751.58,347.03,44.2296,784.61,13.54,17.8181,75.99,593.65,36.8228,1612.18,33,-1,-2.9412,34,21,3,0,0,3,3,-50,-40.6504,123,109,37,-49,-56.9767,86,85,73,74,0,0,74,72,4,0,0,4,4,2,1.7241,116,115,40,2,5.2632,38,39,118,204.68,5.1677,3960.72,3524.24,40,61.7276,65.7534,-265.46,-4.1372,6416.45,5359.78,67.7192,4165.4,6150.99
Bemetara,June 2024,30-06-2024,2024-25,554.61,29.6143,1872.78,119.48,44.7893,266.76,6.78,14.0693,48.19,680.87,31.1222,2187.73,24,0,0,24,24,32,0,0,32,31,0,0,57,56,1,0,0,1,1,57,55,1,1.8519,54,52,27,0,0,27,26,1,1.2195,82,79,1,0,0,1,1,83,166.04,8.1403,2039.72,1968.71,40,44.2472,60.8404,-422.37,-9.1624,4609.83,3235.86,52.6754,2205.76,4187.46
Bijapur,June 2024,30-06-2024,2024-25,48.08,31.5817,152.24,16.48,47.5888,34.63,0.61,2.2668,26.91,65.17,30.4846,213.78,11,0,0,11,8,11,0,0,11,11,0,0,22,19,0,0,,0,0,22,38,0,0,38,37,8,0,0,8,8,0,0,46,45,0,0,,0,0,46,51.43,8.5399,602.23,529.65,40,51.8989,55.1966,-38.73,-3.3377,1160.39,959.57,58.2761,653.66,1121.66
Bilaspur,June 2024,30-06-2024,2024-25,738.11,43.6627,1690.48,2435.08,49.891,4880.8,64.98,17.5888,369.44,3238.17,46.6547,6940.72,26,-3,-10.3448,29,28,34,-3,-8.1081,37,35,3,0.9464,317,323,260,9,3.5857,251,260,320,69,0,0,69,69,39,0,0,39,42,2,0.7782,257,252,151,2,1.3423,149,141,259,295.63,1.7257,17131.5,14214.23,40,57.9176,53.0321,-219.89,-0.7434,29579.08,26803.09,59.3583,17427.13,29359.19
Dantewada,June 2024,30-06-2024,2024-25,17.17,25.5696,67.15,43.81,38.657,113.33,2.4,18.0995,13.26,63.38,32.7139,193.74,8,0,0,8,6,43,-1,-2.2727,44,44,-1,-1.9231,52,50,0,0,,0,0,51,22,0,0,22,22,22,1,4.7619,21,21,1,2.3256,43,43,0,0,,0,0,44,180.04,7.1167,2529.81,3379.39,40,100.8813,150.5497,-18.58,-0.7409,2507.71,2244.7,108.8674,2709.85,2489.13
Dhamtari,June 2024,30-06-2024,2024-25,770.84,60.2327,1279.77,367.15,64.3164,570.85,12.99,11.9967,108.28,1150.98,58.7564,1958.9,26,0,0,26,21,19,-1,-5,20,25,-1,-1.1236,89,92,43,0,0,43,46,88,54,0,0,54,53,21,-1,-4.5455,22,22,-1,-0.885,113,112,37,0,0,37,37,112,276.2,8.2661,3341.34,3095.9,40,56.4508,66.2789,-234.03,-3.9539,5919.03,4671.02,63.6331,3617.54,5685
Durg,June 2024,30-06-2024,2024-25,884.19,#DIV/0!,0,3331.26,#DIV/0!,0,80.92,#DIV/0!,0,4296.37,#DIV/0!,0,51,1,2,50,51,33,0,0,33,31,-2,-0.4357,459,462,373,-3,-0.7979,376,380,457,76,0,0,76,76,40,0,0,40,40,2,0.6623,302,295,188,2,1.0753,186,179,304,987.41,5.0778,19445.66,16726.32,40,57.4912,55.0028,347.93,1.0287,33823.71,30409.94,59.7954,20433.07,34171.64
Gariaband,June 2024,30-06-2024,2024-25,240.11,33.5584,715.5,69.53,40.9,170,2.29,2.4613,93.04,311.93,31.8771,978.54,26,1,4,25,23,24,-1,-4,25,24,0,0,51,48,1,0,0,1,1,51,36,0,0,36,34,26,0,0,26,25,0,0,62,59,0,0,,0,0,62,79.59,6.4312,1237.56,1126.13,40,49.7132,60.5671,-196.76,-7.9039,2489.4,1859.31,57.4512,1317.15,2292.64
Gaurela-Pendra-Marwahi,June 2024,30-06-2024,2024-25,82.75,36.0237,229.71,80.85,45.6909,176.95,5,17.2891,28.92,168.6,38.707,435.58,1,0,0,1,0,24,0,0,24,22,0,0,26,23,1,0,0,1,1,26,9,0,0,9,8,18,2,12.5,16,15,2,8,25,23,0,0,,0,0,27,38.67,5.3708,720,579.46,40,49.1152,47.5997,-48.47,-3.3064,1465.94,1217.36,53.5228,758.67,1417.47
Janjgir-Champa,June 2024,30-06-2024,2024-25,319.04,31.9158,999.63,356.32,48.0877,740.98,21.84,14.4502,151.14,697.2,36.8548,1891.75,34,-1,-2.8571,35,36,78,0,0,78,79,-1,-0.8696,115,116,2,0,0,2,1,114,59,0,0,59,58,58,0,0,58,58,0,0,119,118,2,0,0,2,2,119,150.28,4.3465,3457.48,3050.34,40,48.3659,52.9551,-270.43,-3.783,7148.59,5760.24,52.4524,3607.76,6878.16
Jashpur,June 2024,30-06-2024,2024-25,123.77,30.6346,404.02,210.92,44.5628,473.31,7.59,11.8059,64.29,342.28,36.3501,941.62,11,0,0,11,11,47,0,0,47,47,-1,-1.5873,63,60,4,-1,-20,5,2,62,43,2,4.878,41,41,43,0,0,43,43,2,2.3256,86,85,2,0,0,2,1,88,70.13,3.4838,2013.05,1624.28,40,46.2983,47.4608,-158.68,-3.6495,4348,3422.36,49.726,2083.18,4189.32
Kabirdham,June 2024,30-06-2024,2024-25,612.44,43.5894,1405.02,188.07,42.6724,440.73,52.62,26.5436,198.24,853.13,41.7385,2043.99,18,0,0,18,15,53,1,1.9231,52,54,1,1.4085,71,70,1,0,0,1,1,72,44,1,2.3256,43,41,37,0,0,37,37,1,1.2195,82,80,2,0,0,2,2,83,426.4,19.3801,2200.19,2265.48,40,62.6289,83.0208,-172.26,-4.9034,3513.06,2728.81,78.6216,2626.59,3340.8
Kanker,June 2024,30-06-2024,2024-25,346.57,33.5788,1032.11,197.8,45.198,437.63,8.61,15.0236,57.31,552.98,36.2123,1527.05,27,-1,-3.5714,28,24,49,0,0,49,50,-1,-1.2821,78,75,1,0,0,1,1,77,61,1,1.6667,60,60,40,2,5.2632,38,38,3,3.0303,99,99,1,0,0,1,1,102,172.04,7.2314,2379.08,2119.75,40,54.4589,58.5812,-60.15,-1.3769,4368.58,3618.48,59.2123,2551.12,4308.43
Khairagarh-Chhuikhadan-Gandai,June 2024,30-06-2024,2024-25,336.1,41.355,812.72,27.55,35.1582,78.36,26.06,24.0761,108.24,389.71,38.9975,999.32,10,2,25,8,7,14,-1,-6.6667,15,14,1,4,25,23,2,0,0,2,2,26,21,0,0,21,20,16,0,0,16,15,0,0,39,37,2,0,0,2,2,39,234.9,30.9686,758.51,845.45,40,43.8161,66.8662,-94.22,-5.4427,1731.12,1264.39,60.6885,993.41,1636.9
Kondagaon,June 2024,30-06-2024,2024-25,160.28,32.3824,494.96,99.28,39.4469,251.68,10.27,25.7393,39.9,269.83,34.3059,786.54,9,0,0,9,5,37,1,2.7778,36,34,1,2.1277,47,40,2,0,0,2,1,48,27,1,3.8462,26,26,27,1,3.8462,26,26,2,3.7736,53,53,1,0,0,1,1,55,104.16,7.3071,1425.47,1334.79,40,58.1096,66.3794,-88.93,-3.6253,2453.07,2010.85,64.7013,1529.63,2364.14
Korba,June 2024,30-06-2024,2024-25,137.51,27.4976,500.08,842.95,43.2681,1948.2,26.37,15.2534,172.88,1006.83,38.4116,2621.16,23,1,4.5455,22,21,23,0,0,23,21,-2,-1.1364,176,170,128,-3,-2.2901,131,128,174,44,0,0,44,42,28,1,3.7037,27,27,3,2.2901,131,128,62,2,3.3333,60,59,134,160.64,2.2146,7253.69,6539.27,40,61.087,61.0978,150.99,1.2716,11874.35,10702.96,61.6559,7414.33,12025.34
Korea,June 2024,30-06-2024,2024-25,42.53,28.8085,147.63,73,56.6726,128.81,3.74,15.1294,24.72,119.27,39.6035,301.16,3,0,0,3,2,40,1,2.5641,39,37,1,2.2727,44,40,2,0,0,2,1,45,16,2,14.2857,14,14,21,-1,-4.5455,22,20,1,2.7027,37,35,1,0,0,1,1,38,-11.68,-0.6243,1870.82,640.94,40,81.6506,32.7982,1.96,0.0855,2291.25,1954.19,81.0715,1859.14,2293.21
Mahasamund,June 2024,30-06-2024,2024-25,699.29,34.7651,2011.47,239.96,51.0065,470.45,11.43,15.4397,74.03,950.68,37.1948,2555.95,35,2,6.0606,33,32,68,3,4.6154,65,65,5,5.102,98,97,0,0,,0,0,103,53,1,1.9231,52,52,71,0,0,71,71,1,0.8065,124,124,1,0,0,1,1,125,329.54,8.5712,3844.75,3537.28,40,65.9039,83.9286,-466.9,-8.0033,5833.87,4214.63,77.7774,4174.29,5366.97
Manendragarh-Chirmiri-Bharatpur,June 2024,30-06-2024,2024-25,58.31,25.6669,227.18,114.04,55.9376,203.87,3.21,13.4931,23.79,175.56,38.5982,454.84,8,0,0,8,8,26,0,0,26,26,0,0,36,35,2,0,0,2,1,36,24,-2,-7.6923,26,26,29,1,3.5714,28,29,-1,-1.8182,55,56,1,0,0,1,1,54,7.1,0.6141,1156.08,2174.51,40,30.2417,61.3513,-208.91,-5.4648,3822.8,3544.36,32.1864,1163.18,3613.89
Mohla-Manpur-Ambagarh Chowki,June 2024,30-06-2024,2024-25,93.06,43.3988,214.43,17.45,51.7497,33.72,12.72,28.2541,45.02,123.23,42.0336,293.17,15,0,0,15,16,1,0,0,1,1,0,0,17,17,1,0,0,1,0,17,29,0,0,29,28,1,0,0,1,1,0,0,31,30,1,0,0,1,1,31,81.22,25.9017,313.57,330.52,40,26.0832,35.7806,-91.56,-7.6161,1202.19,923.74,35.5465,394.79,1110.63
Mungeli,June 2024,30-06-2024,2024-25,225.36,30.9098,729.09,102.78,44.4993,230.97,6.79,17.7982,38.15,334.93,33.5531,998.21,10,1,11.1111,9,6,32,1,3.2258,31,27,2,4.7619,42,41,2,0,0,2,8,44,23,0,0,23,23,28,0,0,28,28,0,0,52,52,1,0,0,1,1,52,122.68,9.2309,1329.01,1270.3,40,50.352,66.7451,-267.38,-10.1302,2639.44,1903.21,61.1995,1451.69,2372.06
Narayanpur,June 2024,30-06-2024,2024-25,30.19,39.1012,77.21,17.71,33.3083,53.17,2.91,15.4952,18.78,50.81,34.0641,149.16,1,0,0,1,1,20,0,0,20,20,0,0,21,21,0,0,,0,0,21,7,0,0,7,7,13,0,0,13,13,0,0,20,20,0,0,,0,0,20,30.56,8.0616,379.08,330.74,40,46.9647,44.9815,2.81,0.3481,807.16,735.28,50.5747,409.64,809.97
Raigarh,June 2024,30-06-2024,2024-25,333.58,37.1309,898.39,1249.88,50.6404,2468.15,24.71,18.5371,133.3,1608.17,45.9498,3499.84,30,-1,-3.2258,31,29,39,-1,-2.5,40,39,-3,-1.8519,162,159,90,-1,-1.0989,91,91,159,65,0,0,65,65,27,1,3.8462,26,26,2,1.3793,145,141,55,1,1.8519,54,50,147,591.09,7.3916,7996.82,6802.07,40,75.8176,73.9331,-119.82,-1.136,10547.44,9200.3,82.3573,8587.91,10427.62
Raipur,June 2024,30-06-2024,2024-25,2290.52,65.4432,3500.01,12734.92,52.2889,24354.93,259.15,7.7916,3326,15284.59,49.019,31180.94,87,0,0,87,82,62,-2,-3.125,64,66,-10,-1.2594,794,788,635,-8,-1.2442,643,640,784,105,2,1.9417,103,103,66,0,0,66,65,8,1.5094,530,520,367,6,1.662,361,352,538,4497.36,4.7325,95031.59,81734.15,40,107.7512,111.9373,-3125.6,-3.5439,88195.4,73017.78,116.9968,99528.95,85069.8
Rajnandgaon,June 2024,30-06-2024,2024-25,749.57,43.338,1729.59,489.79,48.9805,999.97,65.96,20.8721,316.02,1305.32,42.8595,3045.58,22,0,0,22,20,16,0,0,16,19,-1,-0.7576,132,125,93,-1,-1.0638,94,86,131,52,1,1.9608,51,49,22,0,0,22,22,2,1.5873,126,121,54,1,1.8868,53,50,128,380.71,8.1995,4643.1,4209.92,40,54.7822,60.8822,-312.64,-3.6887,8475.56,6914.86,61.5443,5023.81,8162.92
Sakti,June 2024,30-06-2024,2024-25,202.91,31.6473,641.16,205.44,48.4665,423.88,13.79,16.1117,85.59,422.14,36.6877,1150.63,19,-1,-5,20,17,23,1,4.5455,22,20,0,0,42,37,0,0,,0,0,42,32,0,0,32,32,21,0,0,21,21,0,0,53,53,0,0,,0,0,53,108.15,7.9256,1364.57,1235.39,40,41.0676,50.7831,-278.45,-8.3801,3322.74,2432.68,48.3765,1472.72,3044.29
Sarangarh-Bilaigarh,June 2024,30-06-2024,2024-25,170.11,27.9625,608.35,87.18,54.6686,159.47,2.8,14.3149,19.56,260.09,33.0323,787.38,16,1,6.6667,15,13,29,0,0,29,28,1,2.2222,45,42,1,0,0,1,1,46,32,1,3.2258,31,30,18,0,0,18,16,1,2.0408,49,46,0,0,,0,0,50,78.28,6.9881,1120.19,1033.21,40,44.9298,56.5867,-209.65,-8.4089,2493.2,1825.89,52.4828,1198.47,2283.55
Sukma,June 2024,30-06-2024,2024-25,32.33,39.3118,82.24,14.24,33.1163,43,1.22,14.269,8.55,47.79,35.7202,133.79,7,0,0,7,6,9,0,0,9,9,0,0,16,15,0,0,,0,0,16,27,0,0,27,26,6,0,0,6,6,0,0,33,32,0,0,,0,0,33,36.45,7.6039,479.36,430.73,40,41.6346,43.5213,-42.19,-3.6644,1151.35,989.7,46.5046,515.81,1109.16
Surajpur,June 2024,30-06-2024,2024-25,164.56,33.5638,490.29,184.74,49.6333,372.21,6.21,10.5792,58.7,355.51,38.5921,921.2,18,2,12.5,16,14,37,-1,-2.6316,38,38,1,1.7857,56,54,2,0,0,2,2,57,60,1,1.6949,59,57,26,0,0,26,25,1,1.1364,88,85,3,0,0,3,3,89,110.08,6.2177,1770.43,1616.57,40,35.5827,38.7997,-114.11,-2.2934,4975.53,4166.45,38.6823,1880.51,4861.42
Surguja,June 2024,30-06-2024,2024-25,226.41,30.965,731.18,640.73,56.1664,1140.77,12.85,11.8871,108.1,879.99,44.4428,1980.05,28,0,0,28,25,2,0,0,2,1,1,0.9009,111,107,82,1,1.2346,81,81,112,57,0,0,57,57,3,0,0,3,3,0,0,104,103,44,0,0,44,43,104,171.86,4.3075,3989.83,3572.74,40,46.0077,52.6984,-684.34,-7.8913,8672.09,6779.6,52.1009,4161.69,7987.75
Balod,September 2024,30-09-2024,2024-25,678.64,35.6952,1901.21,233.93,58.484,399.99,24.79,25.562,96.98,937.36,39.0863,2398.18,37,,,38,40,47,,,48,48,,,87,91,1,,,1,3,85,73,,,69,69,38,,,37,37,,,107,107,1,,,1,1,112,427.13,21.626,1975.08,2218.39,40,34.3983,45.5334,-332.03,-5.7827,5741.8,4872.01,44.405,2402.21,5409.77
Baloda Bazar,September 2024,30-09-2024,2024-25,1284.85,45.5169,2822.8,420.12,61.7515,680.34,52.82,40.6902,129.81,1757.79,48.3846,3632.95,26,,,23,23,69,,,69,69,,,94,95,2,,,2,3,97,49,,,49,48,64,,,64,64,,,113,112,0,,,0,0,113,501.53,14.4231,3477.27,3544.79,40,54.9519,67.1794,-372.33,-5.884,6327.84,5276.6,66.8087,3978.8,5955.51
Balrampur,September 2024,30-09-2024,2024-25,224.15,41.4632,540.6,140.26,79.4404,176.56,27.4,57.9771,47.26,391.81,51.2559,764.42,22,,,19,17,18,,,18,18,,,39,36,1,,,2,1,41,61,,,60,59,12,,,12,12,,,73,72,1,,,1,1,74,159.03,14.0521,1131.72,1159.61,40,37.5065,45.0248,-81.41,-2.698,3017.4,2575.49,43.963,1290.75,2935.99
Bastar,September 2024,30-09-2024,2024-25,482.76,42.2517,1142.58,546.33,69.6308,784.61,62.89,82.7609,75.99,1091.98,54.5123,2003.18,34,,,34,20,3,,,3,9,,,123,110,84,,,86,81,121,74,,,74,73,4,,,4,4,,,116,115,41,,,38,38,119,403.42,10.1782,3963.58,3861.16,40,61.7689,67.4759,-182.54,-2.8447,6416.79,5722.28,70.0485,4367,6234.25
Bemetara,September 2024,30-09-2024,2024-25,852.35,28.3572,3005.76,196.2,73.5493,266.76,13.56,28.1386,48.19,1062.11,31.9844,3320.71,24,,,24,26,32,,,32,31,,,57,58,1,,,1,1,57,56,,,54,53,27,,,27,26,,,82,80,1,,,1,1,84,411.34,20.1665,2039.72,2199.96,40,44.2472,64.6203,-594.78,-12.9024,4609.83,3404.44,61.0468,2451.06,4015.05
Bijapur,September 2024,30-09-2024,2024-25,102.09,41.4596,246.24,28.71,82.905,34.63,0.95,3.5303,26.91,131.75,42.8066,307.78,12,,,11,8,11,,,11,9,,,22,19,0,,,0,2,23,38,,,38,37,8,,,8,9,,,46,46,0,,,0,0,46,100.77,16.7328,602.23,592.94,40,51.8989,57.3504,-19.72,-1.6994,1160.39,1033.89,61.6304,703,1140.67
Bilaspur,September 2024,30-09-2024,2024-25,1075.31,44.2416,2430.54,3212.26,65.8142,4880.8,133.8,36.217,369.44,4421.37,57.5641,7680.78,23,,,29,31,33,,,37,33,,,317,326,261,,,251,262,317,69,,,69,69,37,,,39,42,,,257,254,155,,,149,143,261,708.43,4.1341,17136.05,16017.11,40,57.9292,59.2794,-572.33,-1.9348,29581.04,27019.71,61.5142,17844.48,29008.71
Dantewada,September 2024,30-09-2024,2024-25,36.13,35.047,103.09,64.76,57.1429,113.33,5.07,38.2353,13.26,105.96,46.1338,229.68,8,,,8,6,42,,,44,42,,,52,50,0,,,0,2,50,22,,,22,21,22,,,21,22,,,43,43,0,,,0,0,44,-265.13,-10.4802,2529.81,2240.84,40,100.8813,93.3415,187.15,7.463,2507.71,2400.69,84.037,2264.68,2694.86
Dhamtari,September 2024,30-09-2024,2024-25,1114.33,66.22,1682.77,474.4,83.1041,570.85,80.24,74.1042,108.28,1668.97,70.6622,2361.9,27,,,26,19,19,,,20,24,,,89,92,42,,,43,49,88,55,,,54,54,21,,,22,22,,,113,113,37,,,37,37,113,407.76,12.2035,3341.34,3343.82,40,56.4508,66.8518,-342.7,-5.7898,5919.03,5001.84,67.2324,3749.1,5576.33
Durg,September 2024,30-09-2024,2024-25,1346.44,49.954,2695.36,4420.52,88.3173,5005.27,158.24,42.7122,370.48,5925.2,73.4125,8071.11,51,,,50,51,33,,,33,31,,,459,465,366,,,376,383,450,77,,,76,76,40,,,40,40,,,302,296,186,,,186,180,303,1364.3,7.0151,19447.94,18259.91,40,57.4955,59.0855,345.16,1.0204,33825.16,30904.22,60.9074,20812.24,34170.32
Gariaband,September 2024,30-09-2024,2024-25,424.09,57.1165,742.5,100.3,59,170,5.77,6.2016,93.04,530.16,52.7239,1005.54,26,,,25,23,24,,,25,22,,,51,48,1,,,1,3,51,36,,,36,34,26,,,26,25,,,62,59,0,,,0,0,62,209.73,16.9471,1237.56,1271.47,40,49.7132,64.1862,-231.04,-9.281,2489.4,1980.91,64.0859,1447.29,2258.36
Gaurela-Pendra-Marwahi,September 2024,30-09-2024,2024-25,140.25,41.4059,338.72,114.72,64.8319,176.95,9.81,33.9212,28.92,264.78,48.6201,544.59,1,,,1,0,25,,,24,22,,,26,23,1,,,1,1,27,9,,,9,9,18,,,16,15,,,25,24,0,,,0,0,27,81.82,11.3639,720,650.57,40,49.1152,51.95,-24.28,-1.6563,1465.94,1252.3,55.6178,801.82,1441.66
Janjgir-Champa,September 2024,30-09-2024,2024-25,533.79,35.9309,1485.6,493.03,66.5376,740.98,40.58,26.8493,151.14,1067.4,44.8917,2377.72,35,,,35,32,76,,,78,77,,,115,117,2,,,2,8,113,60,,,59,58,58,,,58,58,,,119,118,2,,,2,2,120,303.23,8.7703,3457.48,3258.78,40,48.3659,55.2372,-290.48,-4.0635,7148.59,5899.61,54.836,3760.71,6858.11
Jashpur,September 2024,30-09-2024,2024-25,240.85,40.4057,596.08,282.06,59.5931,473.31,15.66,24.3584,64.29,538.57,47.5064,1133.68,10,,,11,11,47,,,47,47,,,63,60,4,,,5,2,61,45,,,41,41,43,,,43,43,,,86,85,2,,,2,1,90,145.58,7.2318,2013.05,1736.55,40,46.2983,47.6659,-67.43,-1.5508,4348,3643.17,50.4286,2158.63,4280.57
Kabirdham,September 2024,30-09-2024,2024-25,881.96,39.3181,2243.14,253.74,57.5727,440.73,67.55,34.0817,198.2,1203.25,41.7495,2882.07,18,,,18,16,52,,,52,54,,,71,72,1,,,1,2,71,46,,,43,42,37,,,37,37,,,82,81,2,,,2,2,85,606.77,27.5142,2205.3,2382.48,40,62.7677,83.4517,-219.72,-6.2537,3513.43,2854.92,85.377,2812.07,3293.71
Kanker,September 2024,30-09-2024,2024-25,584.56,36.059,1621.12,255.77,58.4443,437.63,17.17,29.9599,57.31,857.5,40.5234,2116.06,27,,,28,25,49,,,49,50,,,78,78,1,,,1,3,77,61,,,60,60,40,,,38,38,,,99,99,1,,,1,1,102,320.63,13.457,2382.63,2350.04,40,54.5357,61.8225,-107.67,-2.4644,4368.94,3801.27,63.4379,2703.26,4261.27
Khairagarh-Chhuikhadan-Gandai,September 2024,30-09-2024,2024-25,496.19,37.4282,1325.71,36.23,46.2353,78.36,30.36,28.0488,108.24,562.78,37.2133,1512.31,10,,,8,9,14,,,15,14,,,25,25,2,,,2,2,26,21,,,21,20,16,,,16,15,,,39,37,2,,,2,2,39,336.92,44.4187,758.51,950.13,40,43.8161,69.5485,-115.79,-6.6887,1731.12,1366.14,67.8146,1095.43,1615.33
