district,period,branch_network__branch_rural,branch_network__branch_semi_urban,branch_network__branch_urban,branch_network__total_branch,credit_deposit_ratio__advances_rural,credit_deposit_ratio__advances_semi_urban,credit_deposit_ratio__advances_urban,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__deposits_rural,credit_deposit_ratio__deposits_semi_urban,credit_deposit_ratio__deposits_urban,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_branch,credit_deposit_ratio__total_deposit,non_priority_sector__agricuture,non_priority_sector__col_10,non_priority_sector__col_11,non_priority_sector__col_12,non_priority_sector__col_13,non_priority_sector__col_14,non_priority_sector__col_15,non_priority_sector__col_16,non_priority_sector__col_17,non_priority_sector__col_18,non_priority_sector__col_19,non_priority_sector__col_2,non_priority_sector__col_3,non_priority_sector__col_4,non_priority_sector__col_5,non_priority_sector__col_6,non_priority_sector__col_7,non_priority_sector__col_8,non_priority_sector__col_9,non_priority_sector__education,non_priority_sector__housing,non_priority_sector__others,non_priority_sector__personal_loan_under_nps,non_priority_sector__total_non_priority,priority_sector__agri_infra,priority_sector__agri_term,priority_sector__ancillary_activities,priority_sector__col_10,priority_sector__col_11,priority_sector__col_12,priority_sector__col_13,priority_sector__col_14,priority_sector__col_15,priority_sector__col_16,priority_sector__col_17,priority_sector__col_18,priority_sector__col_19,priority_sector__col_2,priority_sector__col_21,priority_sector__col_22,priority_sector__col_3,priority_sector__col_4,priority_sector__col_5,priority_sector__col_6,priority_sector__col_7,priority_sector__col_8,priority_sector__col_9,priority_sector__crop,priority_sector__education,priority_sector__export_credit,priority_sector__housing,priority_sector__msme,priority_sector__others,priority_sector__renewable_energy,priority_sector__social_infrastructure,priority_sector__sub_total,priority_sector__total_agriculture,priority_sector__total_priority_secotr
Siddipet,September 2024,74.0,47.0,36.0,157.0,3433.59,2955.57,2930.45,178.49,1682.58,1708.33,1830.35,9319.61,157.0,5221.26,35.98,77.9,1311.69,152.18,79.96,73074.0,354.32,67.19,3135.86,767.56,75.67,307589.0,60.83,169.1,321.58,9.56,59.9,289.0,190.67,15.96,244.77,527.35,190.32,1014.38,187.03,1246.78,819.53,10.97,463.35,0.38,0.71,128.0,0.07,2.19,235.56,90.62,0.0,21.0,3207.92,42.2,0.0,0.0,676.35,13.36,71.41,2073.0,23.86,3965.61,18.71,0.0,217.44,1090.07,0.0,3.19,53.44,5212.39,6218.95,7601.8
Suryapet,September 2024,64.0,55.0,44.0,163.0,3906.46,4733.64,4504.12,273.57,1247.92,1784.94,1771.92,13144.22,163.0,4804.78,9.76,72.87,1911.18,175.7,82.3,94244.0,554.01,64.29,4405.87,993.77,69.81,462917.0,18.79,192.5,588.83,19.48,67.76,648.0,225.79,28.75,309.84,861.67,213.48,1423.5,332.99,1165.87,1616.11,15.36,603.68,0.32,0.89,3.0,0.06,0.09,55.03,37.6,0.0,99.0,4706.62,57.08,0.0,0.0,1194.43,10.69,29.69,1638.0,27.65,3186.24,36.0,0.0,180.03,1624.49,0.0,68.11,36.11,4352.11,6301.21,8245.95
Vikarabad,September 2024,57.0,46.0,4.0,107.0,2294.44,3139.72,176.98,175.82,1173.52,1987.93,29.9,5611.14,107.0,3191.35,2.0,69.58,364.58,142.41,79.06,100750.0,304.19,77.92,1639.26,498.47,77.69,251430.0,2.01,100.5,279.27,4.55,114.6,87.0,45.31,3.97,65.12,390.41,180.12,641.62,99.3,1031.03,706.62,0.63,149.48,0.0,0.0,0.0,0.0,0.0,52.2,22.38,0.0,31.0,1945.19,26.03,0.0,0.0,329.16,2.5,10.42,476.0,7.43,3794.37,24.0,0.0,1175.98,565.07,0.0,37.74,38.03,4825.4,5631.32,7472.14
Wanaparthy,September 2024,23.0,37.0,1.0,61.0,1161.74,2814.76,35.49,203.77,412.47,1543.96,12.46,4011.99,61.0,1968.89,1.81,80.42,487.88,64.82,77.36,28200.0,136.12,56.82,1255.39,262.16,65.44,178183.0,1.4,77.35,170.58,3.43,63.87,123.0,56.39,5.37,70.12,239.55,83.79,400.64,111.72,665.16,379.86,5.13,152.57,0.0,0.0,0.0,0.0,0.0,31.25,15.88,0.0,3.0,1463.12,33.26,0.0,0.0,285.39,6.06,26.42,1543.0,5.75,2736.26,22.94,0.0,111.99,353.85,0.0,6.53,10.78,3401.42,3893.0,4399.09
Warangal,September 2024,42.0,22.0,72.0,136.0,2248.62,2212.84,6900.66,133.4,762.78,663.55,7091.14,11362.12,136.0,8517.47,26.84,77.42,1596.24,253.89,82.66,86835.0,774.63,71.1,4966.6,1301.74,74.32,241220.0,5.79,21.57,258.86,33.62,129.0,620.0,233.81,26.06,302.0,1089.44,307.15,1751.49,259.92,1342.51,695.38,48.11,318.05,0.1,1.31,11.0,0.03,4.55,114.51,59.29,0.0,31.0,3008.37,56.0,0.0,0.0,1682.07,13.24,45.84,2034.0,34.22,1968.02,28.88,0.0,71.13,997.73,0.0,0.66,7.65,3310.53,4265.83,5371.88
Yadadri Bhuvanagiri,September 2024,56.0,54.0,3.0,113.0,2817.48,4094.82,164.8,189.61,1289.11,2365.56,77.78,7077.1,113.0,3732.45,8.55,69.48,813.71,127.4,87.43,68755.0,294.61,66.43,2314.13,549.95,71.78,240573.0,8.22,96.14,253.87,10.81,92.63,256.0,108.91,11.67,156.75,443.52,145.72,766.21,263.92,784.78,738.77,13.54,227.7,4.45,37.84,0.0,0.0,0.0,21.85,11.91,0.0,64.0,2430.53,48.87,0.0,0.0,541.13,3.89,22.17,850.0,9.5,2309.49,17.55,0.0,70.17,762.19,0.0,15.05,11.76,3094.27,4096.96,4973.68
Adilabad,December 2024,55.0,17.0,39.0,111.0,2200.1,957.99,3959.34,154.45,1583.14,637.76,2387.38,7117.43,111.0,4608.28,8.14,34.27,996.18,276.81,38.57,54375.0,558.31,35.02,2909.79,1043.35,36.27,110805.0,17.49,214.9,43.03,8.0,34.44,149.0,182.74,23.23,533.17,1594.32,717.65,2876.51,251.75,572.21,325.36,39.84,328.57,0.2,0.97,74.0,0.25,2.85,100.73,53.49,0.0,19.0,2577.3,47.01,0.0,0.0,765.1,4.0,8.12,600.0,37.29,2965.1,49.27,0.0,93.6,1195.5,0.0,8.77,20.61,3537.31,4114.42,5482.17
Bhadradri Kothagudem,December 2024,67.0,114.0,0.0,181.0,2300.66,8549.97,282.62,149.77,1242.39,6191.12,0.0,11133.25,181.0,7433.51,8.09,80.71,974.52,536.17,54.16,144579.0,1445.53,102.79,5230.75,2192.11,83.1,307173.0,16.17,199.9,85.14,18.28,117.7,265.0,175.96,15.53,218.02,1406.28,989.94,2637.86,109.65,1080.13,341.07,2.21,180.42,0.05,0.1,158.0,0.53,1.58,102.44,103.28,0.0,15.0,3095.53,59.05,0.0,0.0,748.77,9.11,6.33,1210.0,7.75,2423.76,143.92,0.0,350.83,710.94,0.0,33.57,48.62,3503.89,3954.61,5242.49
Hanumakonda,December 2024,37.0,20.0,112.0,169.0,1866.72,1924.07,17279.35,133.18,905.36,688.19,14227.34,21070.14,169.0,15820.89,417.59,122.45,4255.2,907.76,124.15,207601.0,4268.02,175.18,12902.63,6412.91,151.4,215935.0,444.63,106.5,63.44,53.47,113.5,1030.0,739.03,47.1,603.53,2436.31,731.19,4235.72,144.52,994.4,680.84,7.7,666.55,0.31,0.32,54.0,0.38,23.17,68.76,37.89,0.0,67.0,5008.43,67.56,0.0,0.0,2871.45,21.27,28.14,2734.0,31.06,1736.46,75.58,0.0,403.2,3280.36,0.0,1.64,96.22,2730.86,3556.22,7413.22
Hyderabad,December 2024,2.0,3.0,1151.0,1156.0,130.58,1975.95,497656.71,118.13,9.36,234.78,422824.96,499763.24,1156.0,423069.1,0.0,95.57,52928.32,7849.32,58.0,2544593.0,212599.84,94.34,408908.6,235824.97,93.93,183257.0,4034.83,0.0,538.09,566.18,62.45,8562.0,10774.8,906.62,11274.0,225345.0,13533.0,251059.0,0.0,0.0,0.0,30.81,7856.27,253.59,49.73,72.0,35.94,79.51,689.75,525.07,62.8,279.0,67251.91,102.31,172.41,39.2,67173.51,65.34,5.89,9589.0,936.07,0.0,1108.88,439.99,3037.98,59758.43,836.16,45.2,509.95,0.0,0.0,65736.59
Jagitial,December 2024,67.0,37.0,29.0,133.0,3066.3,2735.34,2522.84,140.6,1873.17,2191.37,1856.02,8324.48,133.0,5920.56,6.23,102.01,708.83,516.72,132.81,107819.0,580.65,39.95,2940.77,1281.77,64.01,234847.0,30.69,492.6,26.92,17.46,86.78,358.0,136.25,20.12,133.56,1453.53,389.07,2002.51,223.4,850.95,1111.58,26.36,442.63,0.15,0.26,426.0,1.78,5.5,108.13,78.34,0.0,51.0,3260.74,55.87,0.0,0.0,646.11,11.48,31.77,1260.0,34.89,2484.99,36.14,8.51,132.37,898.85,0.0,32.38,56.63,3335.94,4670.92,5835.8
Jangoan,December 2024,32.0,32.0,1.0,65.0,2234.21,3206.5,82.65,276.79,779.24,1203.84,12.39,5523.36,65.0,1995.47,5.78,120.81,573.19,144.42,87.99,38765.0,339.54,135.04,1721.03,640.97,122.38,177367.0,32.7,565.7,24.91,6.53,133.0,128.0,117.78,4.91,97.49,251.43,164.13,523.74,148.91,940.93,547.79,20.93,174.47,0.0,0.0,1.0,0.01,0.93,49.34,37.47,0.0,25.0,2399.62,59.31,0.0,0.0,286.71,7.72,25.2,708.0,14.33,1840.07,30.64,0.0,68.47,459.65,0.0,1.08,8.33,2781.0,3477.7,4045.87
Jayashankar Bhupalapally,December 2024,28.0,24.0,0.0,52.0,1190.34,1430.54,48.15,149.77,603.05,1178.99,0.0,2669.03,52.0,1782.04,0.76,107.2,,137.25,131.21,,248.66,138.01,,435.05,131.53,,1.13,148.7,,2.45,89.42,,45.56,2.74,42.5,180.17,104.6,330.77,99.1,372.81,238.94,4.75,,0.0,0.0,,0.1,11.76,,16.13,0.0,,1092.86,48.91,0.0,0.0,,7.03,39.03,,2.46,1344.57,18.01,0.0,51.76,96.73,0.0,0.85,11.52,1717.38,2055.42,2234.29
Jogulamba Gadwal,December 2024,22.0,40.0,0.0,62.0,1604.91,2793.03,98.21,237.78,452.27,1438.62,0.0,4496.15,62.0,1890.89,4.41,120.93,393.11,143.73,127.06,33259.0,312.83,128.16,1351.52,570.29,132.82,168419.0,30.73,696.8,5.95,4.88,154.4,85.0,78.12,3.16,64.6,244.09,113.12,429.38,111.91,667.56,415.8,8.6,105.6,0.0,0.0,2.0,0.04,0.56,7.45,11.51,0.0,9.0,2275.05,42.55,0.0,0.0,345.09,4.57,29.89,498.0,9.68,3520.34,15.29,0.0,112.6,474.49,0.0,7.19,20.97,4187.9,4715.61,5346.15
Kamareddy,December 2024,74.0,65.0,1.0,140.0,3055.31,4680.1,110.56,195.01,1389.57,2617.17,16.62,7845.97,140.0,4023.36,8.16,110.9,892.55,314.54,112.49,48581.0,427.99,117.79,2459.88,921.98,114.93,295771.0,12.69,155.5,31.96,7.28,99.73,182.0,159.48,7.3,143.8,363.36,279.61,802.23,132.46,840.28,489.09,15.82,347.09,0.3,1.46,3.0,0.03,0.78,66.24,36.17,0.0,44.0,3264.69,52.38,0.0,0.0,525.67,7.56,19.9,820.0,23.89,3856.02,37.99,0.0,151.02,701.06,0.0,3.85,20.49,4696.3,5317.85,6232.26
Karimnagar,December 2024,92.0,40.0,90.0,222.0,4352.38,2583.08,10146.25,130.97,3816.39,2192.19,7033.69,17081.71,222.0,13042.27,60.64,104.63,2439.03,828.36,110.28,194442.0,1927.84,132.45,8024.33,3352.96,122.42,260150.0,108.02,178.1,37.36,42.74,94.45,925.0,446.0,45.25,426.28,1455.54,751.13,2738.84,119.49,1192.3,759.27,71.84,764.1,4.14,22.64,572.0,1.95,4.37,250.67,127.77,0.0,19.0,5782.3,72.31,0.0,0.0,2648.64,11.18,25.11,1573.0,137.92,2628.83,44.53,0.0,191.98,2997.07,0.0,44.62,18.29,3821.13,4699.89,7996.38
Khammam,December 2024,97.0,64.0,95.0,256.0,5217.24,4435.15,12385.63,205.88,2273.62,2104.53,6326.21,22038.02,256.0,10704.36,27.02,134.92,4356.35,536.08,99.97,199149.0,2220.69,129.95,10023.61,3644.19,125.1,579311.0,47.08,174.2,125.07,72.69,101.1,1418.0,767.65,71.87,568.96,1708.84,536.22,2912.91,144.63,2358.57,703.14,63.54,798.36,1.81,5.71,416.0,7.67,38.99,230.43,167.42,0.0,22.0,7818.81,79.41,0.0,0.0,2286.3,24.63,39.06,2632.0,73.97,3817.92,63.05,0.0,116.41,2591.52,0.0,19.67,31.68,6176.49,7024.26,9846.59
Kumuram Bheem Asifabad,December 2024,41.0,14.0,1.0,56.0,1432.9,526.85,77.73,95.01,1403.28,723.81,17.32,2037.48,56.0,2144.41,6.57,214.53,130.6,67.08,96.37,10451.0,122.83,129.53,529.43,232.59,125.07,52085.0,11.14,169.6,12.37,0.69,119.0,12.0,30.85,0.58,14.38,94.83,69.61,185.97,118.38,363.53,281.54,2.74,39.31,0.0,0.0,30.0,0.02,0.18,25.68,14.03,0.0,6.0,1101.83,34.79,0.0,0.0,169.12,1.12,2.92,146.0,2.14,1987.28,38.38,0.0,78.04,260.02,0.0,11.21,28.7,2350.81,2750.73,3167.08
Mahabubabad,December 2024,25.0,49.0,1.0,75.0,1622.87,4213.88,108.07,275.39,503.22,1643.91,11.58,5944.82,75.0,2158.71,4.3,83.9,384.03,139.98,131.23,51567.0,408.68,132.08,1439.13,656.52,123.33,269065.0,13.03,303.0,52.3,5.42,101.1,157.0,89.41,5.36,106.57,309.43,106.67,532.33,137.76,840.31,714.76,25.42,135.33,0.94,10.12,9.0,0.14,11.97,70.06,67.07,0.0,14.0,3006.69,67.03,0.0,0.0,334.63,7.06,52.34,690.0,6.37,2041.79,13.49,0.0,25.06,701.92,0.0,1.17,9.29,2882.1,3734.62,4485.55
Mahabubnagar,December 2024,50.0,27.0,63.0,140.0,2495.3,2054.37,6808.07,195.13,1041.5,869.64,3909.38,11357.74,140.0,5820.52,18.1,111.53,2003.11,460.42,117.21,117621.0,1077.32,130.11,5317.35,1918.29,124.43,266364.0,41.22,227.7,25.66,23.97,119.7,472.0,315.36,20.03,282.76,827.99,392.81,1541.69,101.21,1162.41,584.24,49.14,544.0,0.21,1.32,1.0,0.0,0.0,33.19,34.82,0.0,18.0,3775.62,50.98,0.0,0.0,1375.29,7.25,56.77,1019.0,49.29,3639.15,12.77,0.0,100.31,1775.29,0.0,15.31,15.86,4801.56,5487.01,7406.55
Mancherial,December 2024,47.0,74.0,7.0,128.0,2317.93,5305.28,490.3,101.11,2419.6,5237.2,367.75,8113.51,128.0,8024.55,5.12,121.7,1401.61,456.67,84.25,82444.0,732.4,115.08,4071.6,1466.1,104.66,108437.0,10.34,202.0,42.14,13.37,147.6,202.0,253.32,9.06,208.15,636.44,542.01,1400.78,173.83,656.28,294.17,10.14,396.11,0.0,0.0,14.0,0.01,0.07,70.97,47.97,0.0,26.0,2522.33,47.7,0.0,0.0,798.67,6.82,4.93,907.0,27.26,2879.9,138.28,0.0,268.72,826.19,0.0,13.62,37.26,3536.18,4004.18,5288.25
Medak,December 2024,59.0,51.0,2.0,112.0,2407.64,3538.59,390.69,230.4,1040.0,1702.28,8.14,6336.92,112.0,2750.42,3.92,76.05,680.73,148.58,92.73,70135.0,490.68,101.18,2009.4,767.18,95.65,247323.0,12.35,315.1,28.36,5.41,66.38,120.0,110.16,8.15,144.86,484.95,160.22,802.1,164.02,763.59,469.87,10.13,195.63,0.3,1.72,0.0,0.0,0.0,170.42,89.37,0.0,17.0,2719.34,53.79,0.0,0.0,560.9,6.68,87.55,530.0,10.24,2274.55,7.63,0.0,101.11,1250.51,0.0,6.95,17.43,3038.14,3672.03,5055.66
Medchal Malkajgiri,December 2024,43.0,111.0,527.0,681.0,3104.78,10204.55,133759.61,118.52,3068.8,9200.44,111815.15,147068.94,681.0,124084.39,191.22,136.07,52759.06,8905.71,117.01,1687383.0,24169.16,178.97,111710.6,44432.52,151.23,136444.0,325.81,170.4,79.46,357.61,155.9,5419.0,10674.23,229.33,7844.79,13504.6,7610.84,29380.8,227.13,1456.62,1047.34,42.25,7071.51,0.6,0.63,35.0,0.77,1.84,147.73,111.04,0.0,130.0,21972.25,94.31,4.83,0.0,22056.95,72.95,26.01,7906.0,520.68,312.34,280.47,0.0,1232.46,18604.25,0.0,41.78,95.42,1768.96,3043.43,23297.81
Mulugu,December 2024,27.0,11.0,1.0,39.0,1204.06,580.33,31.33,159.1,774.97,366.27,0.0,1815.72,39.0,1141.24,0.0,78.11,88.8,45.8,128.58,18991.0,169.59,122.77,446.8,244.63,116.04,81683.0,0.36,0.0,0.58,0.83,72.81,21.0,28.05,1.14,35.91,138.14,35.62,210.81,61.74,303.6,250.76,2.5,28.98,0.0,0.0,6.0,0.0,0.0,4.66,4.32,0.0,60.0,881.34,46.88,0.0,0.0,61.8,5.1,31.46,432.0,1.27,1087.24,16.21,0.0,50.89,99.87,0.0,0.73,9.13,1390.84,1703.34,1880.17
Nagarkurnool,December 2024,48.0,43.0,1.0,92.0,2777.69,3711.6,145.47,227.85,1206.21,1679.61,26.06,6634.76,92.0,2911.88,6.2,120.68,513.72,127.42,86.79,59083.0,504.69,107.36,1725.22,775.98,106.92,325521.0,18.54,299.0,28.74,9.97,141.6,180.0,115.36,7.04,95.59,470.1,146.82,725.75,119.18,1000.05,731.61,5.76,168.08,0.0,0.0,2.0,0.02,0.2,25.1,17.57,0.0,8.0,3326.9,47.08,0.0,0.0,380.42,6.0,19.62,515.0,13.82,4289.91,30.58,0.0,239.97,638.73,0.0,9.87,6.15,5289.96,6140.75,7066.05
Nalgonda,December 2024,93.0,46.0,97.0,236.0,6275.73,3540.39,12400.51,230.07,2316.84,1491.31,5848.17,22216.63,236.0,9656.32,19.51,117.0,2712.22,585.33,114.63,197676.0,2120.95,119.71,8074.09,3311.18,119.26,610554.0,61.8,316.8,47.6,43.56,91.61,954.0,499.54,47.55,426.95,1771.69,510.63,2776.33,544.7,1462.89,2189.62,16.18,737.28,0.32,0.58,2.0,0.03,0.08,56.6,54.04,0.0,64.0,10110.98,71.82,0.0,0.0,2482.55,15.29,25.83,1677.0,43.04,5963.84,59.19,0.0,266.03,3500.61,0.0,35.8,55.23,7426.73,10161.05,14077.91
Narayanpet,December 2024,27.0,29.0,0.0,56.0,1429.24,1679.49,72.66,195.49,579.13,1048.29,0.0,3181.39,56.0,1627.42,0.02,96.81,162.29,59.32,175.09,22377.0,210.95,156.4,666.75,306.4,148.01,170703.0,0.39,1950.0,15.97,2.02,59.41,53.0,33.72,3.4,34.83,134.88,33.88,207.01,110.82,553.35,172.15,28.39,74.31,0.01,0.09,0.0,0.0,0.0,10.38,11.27,0.0,4.0,1678.14,48.59,0.0,0.0,161.58,2.23,46.27,276.0,5.45,2324.77,4.82,0.0,19.2,252.16,0.0,5.33,11.24,2878.12,3161.09,3453.84
Nirmal,December 2024,57.0,35.0,5.0,97.0,2909.56,3804.96,357.3,210.75,1525.07,1766.56,63.99,7071.82,97.0,3355.62,4.61,112.58,672.38,307.15,74.32,41850.0,425.71,132.78,2208.96,883.71,102.4,152141.0,14.23,308.7,22.36,8.97,80.74,186.0,127.65,11.11,113.39,320.62,413.26,862.99,314.86,735.87,207.66,24.75,274.7,0.0,0.0,10.0,0.0,0.0,41.39,22.21,0.0,9.0,3262.43,58.91,0.0,0.0,791.51,3.51,8.57,550.0,21.38,3173.34,40.97,0.0,86.4,935.33,0.0,20.85,22.93,3909.21,4431.73,5538.21
Nizamabad,December 2024,149.0,57.0,84.0,290.0,7037.6,4527.34,8048.68,184.35,3269.57,2328.8,5040.99,19613.62,290.0,10639.36,13.86,116.33,3201.26,967.36,115.78,161032.0,1501.31,119.89,8351.46,3137.57,119.63,456807.0,62.69,452.3,90.94,45.91,116.7,928.0,560.3,39.35,481.66,1252.23,835.55,2622.65,321.75,1963.4,1715.86,45.21,1026.01,5.71,16.02,8.0,10.17,52.83,167.13,99.41,0.0,95.0,7233.04,63.42,0.0,0.0,2272.56,17.89,21.29,2348.0,79.87,4743.59,84.02,0.0,176.65,2344.7,0.0,19.25,35.64,6706.99,8744.6,11404.86
Peddapalli,December 2024,42.0,47.0,29.0,118.0,1981.78,3387.83,2223.22,102.86,2065.48,2251.9,3064.15,7592.83,118.0,7381.53,21.67,111.14,1064.02,357.63,104.66,83029.0,668.64,109.47,3283.5,1264.58,108.27,167793.0,26.76,123.5,45.4,15.67,89.19,334.0,195.88,17.57,176.25,610.77,341.71,1167.97,57.98,756.46,420.31,30.44,288.17,0.0,0.0,315.0,0.79,5.77,80.14,67.86,0.0,8.0,2641.47,57.38,0.0,0.0,884.41,11.12,45.8,1020.0,16.44,2094.8,24.28,0.0,54.01,1163.98,0.0,13.7,18.26,2851.26,3329.55,4603.78
Rajanna Sircilla,December 2024,39.0,30.0,5.0,74.0,1992.58,2258.2,834.72,128.97,1087.36,2029.29,826.5,5085.5,74.0,3943.15,2.41,81.01,631.36,188.13,70.58,58103.0,394.48,125.82,1817.56,716.53,98.03,117355.0,12.42,515.4,20.28,8.68,94.45,220.0,112.82,9.19,139.26,313.52,266.54,730.92,174.28,485.89,512.86,51.42,382.21,0.0,0.0,603.0,1.7,6.05,99.22,54.89,0.0,4.0,1842.9,52.39,0.0,0.0,402.62,3.83,14.16,540.0,18.82,1681.51,27.04,2.36,36.6,559.35,0.0,28.12,9.37,2167.4,2854.54,3517.38
Ranga Reddy,December 2024,154.0,109.0,542.0,805.0,9856.74,8113.47,88304.4,113.55,10121.19,5490.63,77979.82,106274.61,805.0,93591.64,398.92,125.5,30433.08,5095.34,157.1,735739.0,27364.33,167.93,80675.47,40242.08,156.9,388819.0,646.09,162.0,142.65,349.82,115.2,5680.0,6786.5,303.79,5407.54,16294.8,3243.31,25648.3,518.09,2889.24,1340.15,35.39,3910.1,1.12,4.89,58.0,1.01,18.7,220.83,203.27,0.0,201.0,17182.09,68.21,98.79,0.0,11803.58,63.11,58.17,6878.0,419.48,4035.59,108.5,0.0,1185.3,15086.05,0.0,5.4,22.91,6924.83,8783.07,25191.23
Sangareddy,December 2024,90.0,125.0,40.0,255.0,5866.65,17164.72,8409.88,165.68,6325.59,6794.95,5856.22,31441.25,255.0,18976.76,9.54,117.97,13415.87,1092.52,109.78,214360.0,6242.05,147.23,21504.32,10487.86,133.04,324458.0,34.34,360.0,30.35,42.06,135.4,734.0,3076.89,31.06,2608.09,4239.53,995.18,7883.4,158.1,1358.78,851.69,27.03,1642.9,0.19,0.37,7.0,0.1,1.34,247.25,150.1,0.0,71.0,5748.16,60.15,0.0,0.0,2455.44,25.61,52.75,2652.0,84.04,3687.31,48.55,0.8,310.9,3081.27,0.0,7.44,51.43,5046.09,6055.88,9556.27
Siddipet,December 2024,74.0,47.0,36.0,157.0,3692.25,3205.69,3553.82,192.48,1809.11,1766.71,1854.32,10451.76,157.0,5430.14,35.98,129.21,1462.32,286.77,150.68,87939.0,838.2,158.95,3677.16,1551.86,152.99,319360.0,96.45,268.1,24.96,14.18,88.85,316.0,316.26,15.96,244.77,527.35,190.32,1014.38,187.03,1246.78,819.53,17.13,468.05,0.38,0.71,130.0,0.15,4.7,233.87,141.21,0.0,22.0,4599.2,60.5,0.0,0.0,928.46,14.71,78.62,1520.0,37.24,3965.61,18.71,0.0,217.44,1090.07,0.0,3.19,53.44,5212.39,6218.95,7601.8
Suryapet,December 2024,64.0,55.0,44.0,163.0,4136.7,5044.29,4750.17,278.91,1378.3,1812.23,1804.4,13931.16,163.0,4994.93,9.76,113.51,2015.79,334.02,156.46,100831.0,933.74,108.36,4706.88,1679.03,117.95,459464.0,32.23,330.2,66.23,27.34,95.1,666.0,351.7,28.75,309.84,861.67,213.48,1423.5,332.99,1165.87,1616.11,22.74,600.17,0.41,1.14,10.0,0.18,0.26,51.57,60.57,0.0,61.0,6344.81,76.94,0.0,0.0,1356.24,12.94,35.94,1440.0,40.94,3186.24,36.0,0.0,180.03,1624.49,0.0,68.11,36.11,4352.11,6301.21,8245.95
Vikarabad,December 2024,57.0,46.0,4.0,107.0,2500.64,3509.84,339.98,190.89,1221.5,2054.39,50.92,6350.46,107.0,3326.81,2.0,132.52,422.23,227.82,126.48,111335.0,565.56,144.86,1936.92,889.76,138.67,255576.0,3.05,152.5,24.67,7.03,177.1,101.0,86.3,3.97,65.12,390.41,180.12,641.62,99.3,1031.03,706.62,0.9,151.84,0.0,0.0,0.0,0.0,0.0,53.53,33.93,0.0,30.0,2681.31,35.88,0.0,0.0,417.51,3.95,16.46,474.0,10.6,3794.37,24.0,0.0,1175.98,565.07,0.0,37.74,38.03,4825.4,5631.32,7472.14
Wanaparthy,December 2024,23.0,37.0,1.0,61.0,1261.35,3065.11,95.39,210.67,454.0,1627.51,17.43,4421.85,61.0,2098.94,1.81,135.6,533.87,126.65,151.15,33747.0,335.14,139.9,1433.96,563.5,140.65,181467.0,1.98,109.4,28.68,4.65,86.59,132.0,95.08,5.37,70.12,239.55,83.79,400.64,111.72,665.16,379.86,8.67,153.85,0.0,0.0,0.0,0.0,0.0,30.78,24.78,0.0,2.0,2038.73,46.34,0.0,0.0,324.53,7.0,30.51,1019.0,9.71,2736.26,22.94,0.0,111.99,353.85,0.0,6.53,10.78,3401.42,3893.0,4399.09
Warangal,December 2024,42.0,23.0,74.0,139.0,2283.66,2219.63,7663.78,140.41,800.91,695.06,7169.43,12167.07,139.0,8665.4,26.84,111.88,1685.8,375.98,122.41,93714.0,1258.62,115.53,5553.85,2008.92,114.7,238719.0,12.28,45.75,40.39,24.16,92.71,489.0,337.88,26.06,302.0,1089.44,307.15,1751.49,259.92,1342.51,695.38,55.64,313.37,0.1,1.31,12.0,0.05,7.58,104.93,89.29,0.0,82.0,4144.77,77.16,0.0,0.0,1913.77,13.95,48.3,1701.0,39.58,1968.02,28.88,0.0,71.13,997.73,0.0,0.66,7.65,3310.53,4265.83,5371.88
Yadadri Bhuvanagiri,December 2024,56.0,55.0,3.0,114.0,3006.26,4424.28,320.46,201.15,1341.84,2438.25,73.28,7751.0,114.0,3853.37,8.55,109.96,881.18,200.0,137.25,77531.0,675.61,152.33,2550.94,1085.76,141.71,240993.0,22.43,262.3,8.76,15.35,131.5,267.0,172.37,11.67,156.75,443.52,145.72,766.21,263.92,784.78,738.77,20.29,229.27,4.45,37.84,1.0,0.02,0.13,18.04,19.17,0.0,56.0,3470.57,69.78,0.0,0.0,696.92,4.62,26.32,709.0,14.24,2309.49,17.55,0.0,70.17,762.19,0.0,15.05,11.76,3094.27,4096.96,4973.68
Adilabad,March 2025,54.0,17.0,40.0,111.0,2307.6,992.9,4030.42,147.12,1755.76,643.06,2584.16,7330.92,111.0,4982.98,8.14,48.68,1042.25,371.1,51.71,54732.0,731.74,45.9,3008.48,1398.99,48.63,187757.0,26.58,326.5,162.11,10.0,43.05,147.0,259.57,23.23,533.17,1594.32,717.65,2876.51,251.75,572.21,325.36,43.07,328.29,0.3,1.46,202.0,2.82,32.16,93.51,80.59,0.0,5.0,3134.1,57.17,0.0,0.0,788.24,4.74,9.62,426.0,40.31,2965.1,49.27,0.0,93.6,1195.5,0.0,8.77,20.61,3537.31,4114.42,5482.17
Bhadradri Kothagudem,March 2025,67.0,116.0,0.0,183.0,2335.83,7668.74,279.88,131.92,1352.5,6443.76,0.0,10284.45,183.0,7796.26,8.09,108.77,997.59,1093.05,110.42,122163.0,1598.65,113.68,5521.1,2985.09,113.16,307088.0,32.88,406.4,324.17,23.37,150.5,262.0,237.14,15.53,218.02,1406.28,989.94,2637.86,109.65,1080.13,341.07,2.54,176.36,0.05,0.1,307.0,3.77,11.23,121.49,145.78,0.0,2.0,3960.63,75.55,0.0,0.0,763.53,11.07,7.69,1194.0,8.91,2423.76,143.92,0.0,350.83,710.94,0.0,33.57,48.62,3503.89,3954.61,5242.49
