period,district,camp_conducted_by_rural_branches_during_the_quarter,camp_conducted_by_rural_branches_during_the_quarter_no_of_branches,camp_conducted_by_rural_branches_during_the_quarter_no_of_total_rural_branches,camps_by_rural_branches_no_of_total_rural_branches,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_no_of_flc_camps_conducted,fy_2023_24_no_of_flc_camps_conducted,fy_2024_25_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_camps,no_of_camps_conducted,no_of_flcs,no_of_flcs_in_district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_3,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_4,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_5,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_6,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_8,no_of_participants,no_of_participants_attended,no_of_persons_participated,no_of_persons_participated_in_literacy_camps_during_the_quarter_284,no_of_persons_participated_in_literacy_camps_during_the_quarter_312,no_of_persons_participated_in_literacy_camps_during_the_quarter_326,no_of_persons_participated_in_literacy_camps_during_the_quarter_342,no_of_persons_participated_in_literacy_camps_during_the_quarter_347,no_of_persons_participated_in_literacy_camps_during_the_quarter_478,no_of_persons_participated_in_literacy_camps_during_the_quarter_544,no_of_rsetis,no_of_rural_branches_in_district,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,no_of_special_camps_conducted_by_flcs_during_the_quarter,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_by_flcs_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_166,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_184,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_206,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_212,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_241,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_258,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_284,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_306,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_37,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_41,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_52,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_54,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_58,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_64,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_68,sl_no_1,special_camps_by_flcs_no_of_no_of_target_camps_participants_conducted_attended,special_camps_by_flcs_target,special_camps_conducted_by_flcs_during_the_quarter_no_of_camps,target,target_group_addressed,target_specific_camps_by_flcs_target,target_specific_camps_conducted_by_flcs_during_the_quarter_no_of_camps,total_camps_conducted_during_the_quarter
March 2022,Purulia,158.0,,,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,,,8.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0
March 2022,South 24 Parganas,304.0,,,,,,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,14.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
March 2022,Uttar Dinajpur,97.0,,,,,,,,,,,,,,,,,,,,1062.0,,,,,,,,,,,,,,37.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
March 2023,Alipurduar,,,,51.0,,,,,,,,129.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,153.0,,0.0,,
March 2023,Bankura,,,,168.0,,,,,,,,45.0,,,,,,,,,,1251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,504.0,,15.0,,
March 2023,Birbhum,,,,212.0,,,,,,,,34.0,,,,,,,,,,1938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,636.0,,15.0,,
March 2023,Cooch Behar,,,,136.0,,,,,,,,128.0,,,,,,,,,,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,408.0,,30.0,,
March 2023,Dakshin Dinajpur,,,,79.0,,,,,,,,18.0,,,,,,,,,,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,237.0,,30.0,,
March 2023,Darjeeling,,,,72.0,,,,,,,,210.0,,,,,,,,,,823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,216.0,,30.0,,
March 2023,Hooghly,,,,237.0,,,,,,,,401.0,,,,,,,,,,748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,711.0,,15.0,,
March 2023,Howrah,,,,115.0,,,,,,,,38.0,,,,,,,,,,8733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,345.0,,30.0,,
March 2023,Jalpaiguri,,,,79.0,,,,,,,,218.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,237.0,,15.0,,
March 2023,Jhargram,,,,83.0,,,,,,,,63.0,,,,,,,,,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,249.0,,15.0,,
March 2023,Kalimpong,,,,12.0,,,,,,,,5.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,36.0,,15.0,,
March 2023,Kolkata,,,,6.0,,,,,,,,18.0,,,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,18.0,,15.0,,
March 2023,Malda,,,,189.0,,,,,,,,209.0,,,,,,,,,,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,567.0,,30.0,,
March 2023,Murshidabad,,,,339.0,,,,,,,,1103.0,,,,,,,,,,627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,1017.0,,30.0,,
March 2023,Nadia,,,,230.0,,,,,,,,15.0,,,,,,,,,,1430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,690.0,,15.0,,
March 2023,North 24 Parganas,,,,313.0,,,,,,,,762.0,,,,,,,,,,1666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,939.0,,15.0,,
March 2023,Paschim Bardhaman,,,,100.0,,,,,,,,32.0,,,,,,,,,,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,300.0,,15.0,,
March 2023,Paschim Medinipur,,,,248.0,,,,,,,,314.0,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,744.0,,15.0,,
March 2023,Purba Bardhaman,,,,203.0,,,,,,,,49.0,,,,,,,,,,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,609.0,,15.0,,
March 2023,Purba Medinipur,,,,177.0,,,,,,,,491.0,,,,,,,,,,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,531.0,,30.0,,
March 2023,Purulia,,,,159.0,,,,,,,,287.0,,,,,,,,,,387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,477.0,,15.0,,
March 2023,South 24 Parganas,,,,304.0,,,,,,,,387.0,,,,,,,,,,562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,912.0,,15.0,,
March 2023,Uttar Dinajpur,,,,78.0,,,,,,,,30.0,,,,,,,,,,980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,234.0,,15.0,,
March 2024,Alipurduar,,,,51.0,,,,,,,,128.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,153.0,,0.0,,
March 2024,Bankura,,,,168.0,,,,,,,,485.0,1.0,,,,,,,,,6717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,504.0,,15.0,,
March 2024,Birbhum,,,,212.0,,,,,,,,721.0,1.0,,,,,,,,,1297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,636.0,,15.0,,
March 2024,Cooch Behar,,,,136.0,,,,,,,,302.0,2.0,,,,,,,,,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,408.0,,30.0,,
March 2024,Dakshin Dinajpur,,,,79.0,,,,,,,,23.0,2.0,,,,,,,,,891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,237.0,,30.0,,
March 2024,Darjeeling,,,,72.0,,,,,,,,219.0,2.0,,,,,,,,,691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,216.0,,30.0,,
March 2024,Hooghly,,,,227.0,,,,,,,,680.0,1.0,,,,,,,,,421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,681.0,,15.0,,
March 2024,Howrah,,,,115.0,,,,,,,,45.0,2.0,,,,,,,,,2087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,345.0,,30.0,,
March 2024,Jalpaiguri,,,,79.0,,,,,,,,305.0,1.0,,,,,,,,,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,237.0,,15.0,,
March 2024,Jhargram,,,,83.0,,,,,,,,182.0,1.0,,,,,,,,,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,249.0,,15.0,,
March 2024,Kalimpong,,,,12.0,,,,,,,,11.0,1.0,,,,,,,,,522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,36.0,,15.0,,
March 2024,Kolkata,,,,7.0,,,,,,,,21.0,1.0,,,,,,,,,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,21.0,,15.0,,
March 2024,Malda,,,,189.0,,,,,,,,273.0,2.0,,,,,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,567.0,,30.0,,
March 2024,Murshidabad,,,,339.0,,,,,,,,941.0,2.0,,,,,,,,,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,1017.0,,30.0,,
March 2024,Nadia,,,,176.0,,,,,,,,17.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,528.0,,15.0,,
March 2024,North 24 Parganas,,,,312.0,,,,,,,,781.0,1.0,,,,,,,,,1411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,936.0,,15.0,,
March 2024,Paschim Bardhaman,,,,102.0,,,,,,,,101.0,1.0,,,,,,,,,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,306.0,,15.0,,
March 2024,Paschim Medinipur,,,,250.0,,,,,,,,473.0,1.0,,,,,,,,,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,750.0,,15.0,,
March 2024,Purba Bardhaman,,,,269.0,,,,,,,,870.0,1.0,,,,,,,,,1304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,807.0,,15.0,,
March 2024,Purba Medinipur,,,,277.0,,,,,,,,87.0,2.0,,,,,,,,,1416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,831.0,,30.0,,
March 2024,Purulia,,,,151.0,,,,,,,,337.0,1.0,,,,,,,,,479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,453.0,,15.0,,
March 2024,South 24 Parganas,,,,304.0,,,,,,,,635.0,1.0,,,,,,,,,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,912.0,,15.0,,
March 2024,Uttar Dinajpur,,,,89.0,,,,,,,,235.0,1.0,,,,,,,,,5160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,267.0,,15.0,,
March 2025,Alipurduar,,,,53.0,,,,,,,,165.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,159.0,,0.0,,
March 2025,Bankura,,,,168.0,,,,,,,,618.0,1.0,,,,,,,,,13974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,504.0,,15.0,,
March 2025,Birbhum,,,,212.0,,,,,,,,701.0,1.0,,,,,,,,,715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,636.0,,15.0,,
March 2025,Cooch Behar,,,,136.0,,,,,,,,436.0,2.0,,,,,,,,,1545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,408.0,,30.0,,
March 2025,Dakshin Dinajpur,,,,78.0,,,,,,,,229.0,2.0,,,,,,,,,7623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,234.0,,30.0,,
March 2025,Darjeeling,,,,73.0,,,,,,,,178.0,2.0,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,219.0,,30.0,,
March 2025,Hooghly,,,,237.0,,,,,,,,950.0,1.0,,,,,,,,,17597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,711.0,,15.0,,
March 2025,Howrah,,,,115.0,,,,,,,,45.0,2.0,,,,,,,,,1786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,345.0,,30.0,,
March 2025,Jalpaiguri,,,,79.0,,,,,,,,247.0,1.0,,,,,,,,,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,237.0,,15.0,,
March 2025,Jhargram,,,,83.0,,,,,,,,239.0,1.0,,,,,,,,,6173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,249.0,,15.0,,
March 2025,Kalimpong,,,,13.0,,,,,,,,42.0,1.0,,,,,,,,,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,39.0,,15.0,,
March 2025,Kolkata,,,,0.0,,,,,,,,0.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,0.0,,15.0,,
March 2025,Malda,,,,151.0,,,,,,,,454.0,2.0,,,,,,,,,23783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,453.0,,30.0,,
March 2025,Murshidabad,,,,339.0,,,,,,,,1073.0,2.0,,,,,,,,,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,1017.0,,30.0,,
March 2025,Nadia,,,,195.0,,,,,,,,593.0,1.0,,,,,,,,,581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,585.0,,15.0,,
March 2025,North 24 Parganas,,,,323.0,,,,,,,,794.0,1.0,,,,,,,,,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,969.0,,15.0,,
March 2025,Paschim Bardhaman,,,,102.0,,,,,,,,176.0,1.0,,,,,,,,,11568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,306.0,,15.0,,
March 2025,Paschim Medinipur,,,,250.0,,,,,,,,753.0,1.0,,,,,,,,,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,750.0,,15.0,,
March 2025,Purba Bardhaman,,,,327.0,,,,,,,,1297.0,1.0,,,,,,,,,2265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,981.0,,15.0,,
March 2025,Purba Medinipur,,,,252.0,,,,,,,,64.0,2.0,,,,,,,,,4170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,756.0,,30.0,,
March 2025,Purulia,,,,129.0,,,,,,,,305.0,1.0,,,,,,,,,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,387.0,,15.0,,
March 2025,South 24 Parganas,,,,316.0,,,,,,,,853.0,1.0,,,,,,,,,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,948.0,,15.0,,
March 2025,Uttar Dinajpur,,,,104.0,,,,,,,,320.0,1.0,,,,,,,,,13973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,312.0,,15.0,,
September 2016,Bankura,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,167.0,,,,,,,,,,,,,,,,,,116.0,,,,26.0,,,,,,,8.0,,,,,,,,
September 2016,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
September 2016,Cooch Behar,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,712.0,,,,,,,,,,,,,,,,,,588.0,,,,104.0,,,,,,,36.0,,,,,,,,
September 2016,Dakshin Dinajpur,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,171.0,,,,,,,,,,,,,,,,,,104.0,,,,39.0,,,,,,,6.0,,,,,,,,
September 2016,Darjeeling,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,684.0,,,,,,,,,,,,,,,,,,522.0,,,,104.0,,,,,,,22.0,,,,,,,,
September 2016,Hooghly,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,238.0,,,,,,,,,,,,,,,,,,171.0,,,,66.0,,,,,,,12.0,,,,,,,,
September 2016,Howrah,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,551.0,,,,,,,,,,,,,,,,,,318.0,,,,183.0,,,,,,,10.0,,,,,,,,
September 2016,Jalpaiguri,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,2246.0,,,,,,,,,,,,,,,,,,1678.0,,,,436.0,,,,,,,20.0,,,,,,,,
September 2016,Malda,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,108.0,,,,16.0,,,,,,,31.0,,,,,,,,
September 2016,Murshidabad,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,497.0,,,,,,,,,,,,,,,,,,314.0,,,,112.0,,,,,,,39.0,,,,,,,,
September 2016,Nadia,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,143.0,,,,,,,,,,,,,,,,,,89.0,,,,41.0,,,,,,,9.0,,,,,,,,
September 2016,Purba Bardhaman,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,640.0,,,,,,,,,,,,,,,,,,516.0,,,,114.0,,,,,,,13.0,,,,,,,,
September 2016,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
September 2016,Uttar Dinajpur,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,164.0,,,,34.0,,,,,,,4.0,,,,,,,,
September 2017,Bankura,,,,,,,,,,,,,,,,,,,3.0,,,,,,174.0,,,,,,,,,,,,,,,,78.0,,,,,,,,,,64.0,,,,,8.0,,,,,,,,
September 2017,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,14.0,,,,,,,,
September 2017,Cooch Behar,,,,,,,,,,,,,,,,,,,8.0,,,,,,621.0,,,,,,,,,,,,,,,,412.0,,,,,,,,,,84.0,,,,,36.0,,,,,,,,
September 2017,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,5.0,,,,,,176.0,,,,,,,,,,,,,,,,61.0,,,,,,,,,,78.0,,,,,6.0,,,,,,,,
September 2017,Darjeeling,,,,,,,,,,,,,,,,,,,5.0,,,,,,418.0,,,,,,,,,,,,,,,,274.0,,,,,,,,,,28.0,,,,,22.0,,,,,,,,
September 2017,Hooghly,,,,,,,,,,,,,,,,,,,5.0,,,,,,236.0,,,,,,,,,,,,,,,,108.0,,,,,,,,,,68.0,,,,,12.0,,,,,,,,
September 2017,Howrah,,,,,,,,,,,,,,,,,,,6.0,,,,,,468.0,,,,,,,,,,,,,,,,202.0,,,,,,,,,,132.0,,,,,10.0,,,,,,,,
September 2017,Jalpaiguri,,,,,,,,,,,,,,,,,,,18.0,,,,,,1844.0,,,,,,,,,,,,,,,,1418.0,,,,,,,,,,341.0,,,,,20.0,,,,,,,,
September 2017,Malda,,,,,,,,,,,,,,,,,,,4.0,,,,,,84.0,,,,,,,,,,,,,,,,61.0,,,,,,,,,,14.0,,,,,31.0,,,,,,,,
September 2017,Murshidabad,,,,,,,,,,,,,,,,,,,10.0,,,,,,302.0,,,,,,,,,,,,,,,,204.0,,,,,,,,,,70.0,,,,,39.0,,,,,,,,
September 2017,Nadia,,,,,,,,,,,,,,,,,,,5.0,,,,,,188.0,,,,,,,,,,,,,,,,81.0,,,,,,,,,,51.0,,,,,9.0,,,,,,,,
September 2017,Purba Bardhaman,,,,,,,,,,,,,,,,,,,4.0,,,,,,521.0,,,,,,,,,,,,,,,,289.0,,,,,,,,,,146.0,,,,,13.0,,,,,,,,
September 2017,Purulia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
September 2017,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,6.0,,,,,,248.0,,,,,,,,,,,,,,,,156.0,,,,,,,,,,32.0,,,,,4.0,,,,,,,,
September 2020,Alipurduar,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,51.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Bankura,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,165.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Birbhum,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,212.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Cooch Behar,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,124.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Darjeeling,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,76.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
September 2020,Hooghly,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,237.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Howrah,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,115.0,,,,0.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,77.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,24.0,,,
September 2020,Jhargram,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,82.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Kalimpong,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,14.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
September 2020,Kolkata,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Malda,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,184.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Murshidabad,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,293.0,,,,10.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,246.0,,,
September 2020,Nadia,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,212.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,255.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,46.0,,,
September 2020,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,106.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
September 2020,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,249.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
September 2020,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,416.0,,,,,,,,,,,301.0,,,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,1234.0,,,
September 2020,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,177.0,,,,12.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,24.0,,,
September 2020,Purulia,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,174.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
September 2020,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,304.0,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,56.0,,,
September 2020,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,26.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,124.0,,,
September 2021,Alipurduar,46.0,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,48.0
September 2021,Bankura,73.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
September 2021,Birbhum,69.0,,,,,,,,,,,,,,,,,,,,2220.0,,,,,,,,,,,,,,,69.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,207.0
September 2021,Cooch Behar,13.0,,,,,,,,,,,,,,,,,,,,4581.0,,,,,,,,,,,,,,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
September 2021,Darjeeling,0.0,,,,,,,,,,,,,,,,,,,,3491.0,,,,,,,,,,,,,,,3.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.0
September 2021,Hooghly,28.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,27.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,55.0
September 2021,Howrah,0.0,,,,,,,,,,,,,,,,,,,,1479.0,,,,,,,,,,,,,,,2.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,52.0
September 2021,Jalpaiguri,80.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0
