district,period,aadhaar_authentication__aadhaar_seeded_casa,aadhaar_authentication__authenticated_casa,aadhaar_authentication__mobile_seeded_sb,aadhaar_authentication__operative_casa,aadhaar_authentication__operative_sb,aadhaar_authentication__pct_aadhaar_seeding,aadhaar_authentication__pct_authentication,aadhaar_authentication__pct_mobile_seeding,atm__atm_new_fy,atm__atm_rural,atm__atm_semi_urban,atm__atm_total,atm__atm_urban,banking_parameter__agri_adv_ac,banking_parameter__agri_adv_amt,banking_parameter__dri_ac,banking_parameter__dri_amt,banking_parameter__minority_ac,banking_parameter__minority_amt,banking_parameter__msme_ac,banking_parameter__msme_amt,banking_parameter__nri_deposit,banking_parameter__other_ps_ac,banking_parameter__other_ps_amt,banking_parameter__pct_agri_adv,banking_parameter__pct_psa,banking_parameter__sc_ac,banking_parameter__sc_amt,banking_parameter__shg_ac,banking_parameter__shg_amt,banking_parameter__small_marginal_farmers_ac,banking_parameter__small_marginal_farmers_amt,banking_parameter__st_ac,banking_parameter__st_amt,banking_parameter__total_advances,banking_parameter__total_priority_ac,banking_parameter__total_priority_amt,banking_parameter__women_ac,banking_parameter__women_amt,branch_network__branch_new_fy,branch_network__branch_rural,branch_network__branch_semi_urban,branch_network__branch_urban,branch_network__total_branch,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_branch,credit_deposit_ratio__total_deposit,kcc__kcc_activated,kcc__kcc_ah_os_ac,kcc__kcc_ah_os_amt,kcc__kcc_fish_os_ac,kcc__kcc_fish_os_amt,kcc__kcc_issued_qtr_ac,kcc__kcc_issued_qtr_amt,kcc__kcc_os_amt,kcc__kcc_rupay,kcc__total_kcc_ac,kcc__total_kcc_amt,pmegp__pmegp_forwarded_mm,pmegp__pmegp_forwarded_no,pmegp__pmegp_pending_mm,pmegp__pmegp_pending_no,pmegp__pmegp_rejected_mm,pmegp__pmegp_rejected_no,pmegp__pmegp_sanctioned_mm,pmegp__pmegp_sanctioned_no,pmegp__pmegp_target_mm,pmegp__pmegp_target_no,pmjdy__pmjdy_aadhaar_seeded,pmjdy__pmjdy_amount,pmjdy__pmjdy_pct_aadhaar,pmjdy__pmjdy_pct_rupay,pmjdy__pmjdy_pct_zero_balance,pmjdy__pmjdy_rupay_issued,pmjdy__pmjdy_rural,pmjdy__pmjdy_urban,pmjdy__pmjdy_zero_balance,pmjdy__total_pmjdy_ac,pmmy__pmmy_kishore_ac,pmmy__pmmy_kishore_amt,pmmy__pmmy_shishu_ac,pmmy__pmmy_shishu_amt,pmmy__pmmy_target,pmmy__pmmy_tarun_ac,pmmy__pmmy_tarun_amt,pmmy__pmmy_tarun_plus_ac,pmmy__pmmy_tarun_plus_amt,pmmy__pmmy_total_ac,pmmy__pmmy_total_amt,rseti__rseti_beneficiaries_qtr,rseti__rseti_cumulative_beneficiaries,rseti__rseti_cumulative_programs,rseti__rseti_programs_qtr,rseti__rseti_settled_bank,rseti__rseti_settled_own,rseti__rseti_settled_total,rseti__rseti_settled_wage,rseti__rseti_settlement_pct,rseti__rseti_target_candidates,rseti__rseti_target_programs,sacp__sacp_agri_infra_disb_ac,sacp__sacp_agri_infra_disb_amt,sacp__sacp_agri_infra_os_ac,sacp__sacp_agri_infra_os_amt,sacp__sacp_agri_infra_pct_ach_ac,sacp__sacp_agri_infra_pct_ach_amt,sacp__sacp_agri_infra_target_ac,sacp__sacp_agri_infra_target_amt,sacp__sacp_crop_loan_disb_ac,sacp__sacp_crop_loan_disb_amt,sacp__sacp_crop_loan_os_ac,sacp__sacp_crop_loan_os_amt,sacp__sacp_crop_loan_pct_ach_ac,sacp__sacp_crop_loan_pct_ach_amt,sacp__sacp_crop_loan_target_ac,sacp__sacp_crop_loan_target_amt,sacp__sacp_education_disb_ac,sacp__sacp_education_disb_amt,sacp__sacp_education_os_ac,sacp__sacp_education_os_amt,sacp__sacp_education_pct_ach_ac,sacp__sacp_education_pct_ach_amt,sacp__sacp_education_target_ac,sacp__sacp_education_target_amt,sacp__sacp_housing_disb_ac,sacp__sacp_housing_disb_amt,sacp__sacp_housing_os_ac,sacp__sacp_housing_os_amt,sacp__sacp_housing_pct_ach_ac,sacp__sacp_housing_pct_ach_amt,sacp__sacp_housing_target_ac,sacp__sacp_housing_target_amt,sacp__sacp_other_ps_disb_ac,sacp__sacp_other_ps_disb_amt,sacp__sacp_other_ps_os_ac,sacp__sacp_other_ps_os_amt,sacp__sacp_other_ps_pct_ach_ac,sacp__sacp_other_ps_pct_ach_amt,sacp__sacp_other_ps_target_ac,sacp__sacp_other_ps_target_amt,sacp__sacp_term_loan_disb_ac,sacp__sacp_term_loan_disb_amt,sacp__sacp_term_loan_os_ac,sacp__sacp_term_loan_os_amt,sacp__sacp_term_loan_pct_ach_ac,sacp__sacp_term_loan_pct_ach_amt,sacp__sacp_term_loan_target_ac,sacp__sacp_term_loan_target_amt,sacp__sacp_total_agri_disb_ac,sacp__sacp_total_agri_disb_amt,sacp__sacp_total_agri_os_ac,sacp__sacp_total_agri_os_amt,sacp__sacp_total_agri_pct_ach_ac,sacp__sacp_total_agri_pct_ach_amt,sacp__sacp_total_agri_target_ac,sacp__sacp_total_agri_target_amt,sacp__sacp_total_msme_disb_ac,sacp__sacp_total_msme_disb_amt,sacp__sacp_total_msme_os_ac,sacp__sacp_total_msme_os_amt,sacp__sacp_total_msme_pct_ach_ac,sacp__sacp_total_msme_pct_ach_amt,sacp__sacp_total_msme_target_ac,sacp__sacp_total_msme_target_amt,sacp__sacp_total_ps_disb_ac,sacp__sacp_total_ps_disb_amt,sacp__sacp_total_ps_os_ac,sacp__sacp_total_ps_os_amt,sacp__sacp_total_ps_pct_ach_ac,sacp__sacp_total_ps_pct_ach_amt,sacp__sacp_total_ps_target_ac,sacp__sacp_total_ps_target_amt,sarfaesi__sarfaesi_col2,sarfaesi__sarfaesi_col3,sarfaesi__sarfaesi_col4,sarfaesi__sarfaesi_col5,sarfaesi__sarfaesi_col6,sarfaesi__sarfaesi_col7,social_security_schemes__pmjjby_achievement,social_security_schemes__pmjjby_enrolment,social_security_schemes__pmjjby_pct,social_security_schemes__pmjjby_target,social_security_schemes__pmsby_achievement,social_security_schemes__pmsby_enrolment,social_security_schemes__pmsby_pct,social_security_schemes__pmsby_target
Morbi,March 2024,,,,,,,,,,29,48,156,79,129152,377805,15,5,5116,18173,20799,1391384,20510,19615,97376,15.96,78.83,2621,3479,290,379,71854,129696,599,664,2367731,169566,1866564,12185,3791,,80,42,68,190,167.35,2504205.45,190,1496382.84,,3721,3535.93,19,21.07,9951,68659.46,,,99855,144930.52,2569.22,195,497.7,36,219.24,20,2124.18,152,870.03,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190,77481,7467,105061,98.98,271.65,3223,28522,95782,227632,98836,219410,60.79,747.09,157560,30469,88,286,286,1334,6.36,138.16,1383,207,1847,17545,9910,78822,70.42,728.31,2623,2409,5312,14325,9419,17220,154.87,375.49,3430,3815,12406,31425,22849,53334,110.08,118.6,11270,26496,111378,336538,129152,377805,64.73,393.67,172053,85487,10631,1235796,20799,1391384,98.18,99.57,10828,1241160,129256,1604490,169566,1866564,67.92,120.36,190317,1333079,11,2452.13,7,1966.88,7,701.8,78444,,0.53,114887,203619,,0.54,319234
Narmada,March 2024,,,,,,,,,,31,31,63,1,58889,79830,38,22,2276,4431,5445,19547,1798,18199,23255,53.55,82.26,5326,4390,1212,1733,39449,50241,31937,30222,149083,82533,122632,18839,8095,,38,29,1,68,62.29,180700.27,68,290117.77,,4977,5434.12,117,150.31,2497,7557.29,,,26637,48952.51,226.29,20,165.01,13,42.93,4,28.45,4,870.03,300,,,,,,,,,,,,,,,,,,,,,,772,9778,298,25,3196,3981,7596,419,77.68,750,25,809,3059,1271,3478,3.16,26.91,25575,11369,18011,38295,27809,48749,28.71,64.13,62743,59714,24,147,75,384,92.31,31.41,26,468,6236,5806,5931,19119,4585.29,273.61,136,2122,8432,4063,12193,3753,242.58,87.43,3476,4647,16863,21540,29809,27603,100.43,110.9,16790,19423,35683,62895,58889,79830,33.95,69.49,105108,90506,2002,14652,5445,19547,510.71,94.36,392,15528,52377,87562,82533,122632,47.99,77.3,109138,113269,2,27.73,1,23.71,4,53.44,45552,,0.53,68847,157582,,0.6,228528
Navsari,March 2024,,,,,,,,,,101,70,284,113,101413,175545,104,142,5757,15235,26294,202370,558635,48080,179441,20.0,63.49,7195,10532,3991,6513,78894,124520,36519,48972,877923,175787,557356,31887,11913,,146,54,78,278,36.2,1023284.33,278,2826652.03,,16435,14207.38,1039,1913.38,5200,6455.54,,,38515,51898.86,0,0,0,0,0,0,201.03,13,1160.04,400,,,,,,,,,,,,,,,,,,,,,,849,9920,342,29,2800,4366,7553,387,76.14,750,24,1400,20107,2350,21465,21.12,141.35,6629,14225,27900,53029,40894,68978,114.62,71.09,24341,74589,376,2290,1279,7398,44.82,38.23,839,5990,2995,25645,19961,162250,31.08,55.82,9635,45941,14622,13919,26840,9793,14.82,64.88,98673,21453,39883,72664,58169,85102,152.45,137.51,26162,52844,69183,145800,101413,175545,121.09,102.92,57132,141658,11596,156967,26294,202370,88.9,215.22,13044,72932,98772,344621,175787,557356,55.08,119.67,179323,287974,20,405.68,16,317.02,3,24.4,122666,,0.6,177455,308406,,0.58,489046
Panch Mahals,March 2024,,,,,,,,,,50,68,181,63,216438,162044,102,60,6110,8647,16855,115124,21193,38081,147900,30.36,79.65,9625,9816,1797,2314,131024,107145,23820,17639,533681,271374,425067,111417,34151,,98,53,38,189,84.47,802461.4,189,949942.13,,9593,7046.86,56,46.41,12102,13504.83,,,60193,66473.62,1011.84,118,371.61,49,87.1,14,628.8,64,870.03,300,,,,,,,,,,,,,,,,,,,,,,927,14964,442,28,5092,4472,10243,679,68.45,850,28,599,6010,1061,9809,3.25,21.45,18432,28024,44699,47417,54175,67389,86.13,74.64,51900,63525,119,554,463,1967,23.47,29.36,507,1887,2933,20965,13375,132764,376.51,97.24,779,21560,14341,10906,24243,13169,44.84,71.89,31983,15170,104154,72199,161202,84846,390.78,293.4,26653,24608,149452,125626,216438,162044,154.1,108.15,96985,116157,7337,88476,16855,115124,73.06,297.24,10043,29766,174182,246527,271374,425067,124.15,133.59,140297,184539,9,100.59,4,46.03,0,0,169259,,0.59,219156,392502,,0.58,576806
Patan,March 2024,,,,,,,,,,28,60,156,68,158857,390086,26,29,2780,9131,11523,63774,13416,22633,78697,66.65,91.0,4405,9606,3270,1660,101392,207182,635,1025,585259,193013,532557,14760,5576,,69,55,35,159,82.19,707513.8,159,860778.85,,14474,18174.2,33,27.47,51473,95932.75,,,122079,294364.37,1014.64,100,338.94,37,128.24,17,583.49,49,464.02,160,,,,,,,,,,,,,,,,,,,,,,816,12527,453,27,4298,5051,9683,334,77.3,750,25,683,29774,1040,30232,264.73,127.58,258,23338,101620,259637,119704,294622,65.43,108.73,155311,238786,89,305,298,1228,30.58,27.23,291,1120,5246,13548,11352,72562,374.71,112.01,1400,12095,7840,4291,10983,4906,423.1,97.08,1853,4420,26888,54783,38113,65232,143.96,150.88,18678,36309,129191,344194,158857,390086,74.14,115.33,174247,298433,5699,53576,11523,63774,93.83,133.51,6074,40128,148065,415915,193013,532557,80.53,116.77,183865,356196,22,399.89,27,411.81,26,4710.97,102365,,0.55,152441,285025,,0.57,440742
Porbandar,March 2024,,,,,,,,,,7,13,70,50,59507,166208,21,3,559,1831,7863,70346,227218,10101,69474,44.55,82.03,2244,4672,246,188,38143,74300,1247,3156,373072,77471,306027,3249,1299,,28,15,47,90,37.09,424745.71,90,1145214.27,,3547,3184.08,1295,5739.57,17530,65906.55,,,54681,128437.55,201.91,38,72.13,11,74.71,15,56.42,13,464.02,160,,,,,,,,,,,,,,,,,,,,,,526,6315,241,25,1754,2276,4251,221,67.32,500,20,469,34221,961,25064,0,0,0,0,43616,125110,49558,116822,58.56,84.35,74487,148314,135,458,389,1808,95.74,54.14,141,846,904,8436,8212,57752,214.22,74.79,422,11280,1344,3661,1500,9915,60.57,99.19,2219,3691,8176,24396,8988,24322,42.79,61.92,19107,39400,52261,183726,59507,166208,55.84,97.88,93594,187714,3865,66991,7863,70346,45.72,103.89,8454,64485,58509,263271,77471,306027,55.81,98.23,104830,268016,16,810.64,10,799.56,6,38.26,45989,,0.54,66380,119060,,0.54,187091
Rajkot,March 2024,,,,,,,,,,83,109,730,538,340119,1111282,153,24,12504,26054,103350,2653171,730508,260960,1155453,17.59,77.87,10691,20030,1424,1354,222482,396995,3467,5237,6317826,704429,4919906,37332,12058,,245,92,360,697,96.24,7805900.75,697,8111099.29,,7722,7277.07,33,86.83,18873,121254.53,,,236744,319901.51,6257.41,441,200.68,15,121.55,9,6576.41,450,1241.24,428,,,,,,,,,,,,,,,,,,,,,,887,8077,277,33,2951,2631,5752,170,71.21,830,28,9475,452892,20318,427204,94.75,129.4,10000,350000,232491,533155,239943,501928,87.91,76.16,264462,700056,816,2642,2813,13292,81.6,52.84,1000,5000,246079,310285,224905,1097838,351.54,140.16,70000,221382,18181,49073,33242,44323,89.48,75.72,20318,64805,43288,182400,79858,182151,77.83,144.19,55622,126500,285254,1168447,340119,1111282,86.42,99.31,330084,1176556,58143,2711880,103350,2653171,96.1,232.07,60500,1168584,608473,4242325,704429,4919906,126.26,160.92,481902,2636327,41,2946.27,35,2025.54,49,7419.68,257750,,0.59,372472,659133,,0.57,1028373
Sabar Kantha,March 2024,,,,,,,,,,47,179,229,3,200738,534320,103,102,56263,85078,16612,244105,19330,29032,127855,50.89,86.31,12501,19781,3401,3469,133538,257371,11251,12289,1050035,246382,906280,53431,18811,,170,113,5,288,99.36,1276510.8,288,1284713.95,,25819,32178.96,45,34.93,11874,46780.13,,,80478,308219.12,990.23,83,289.44,24,107.25,11,662.21,53,464.02,160,,,,,,,,,,,,,,,,,,,,,,859,10851,386,32,3690,3948,8327,689,76.74,750,25,1297,73374,2028,76236,14.86,95.35,8727,76956,100533,291342,66240,291852,52.55,72.96,191305,399295,137,739,525,2495,28.19,85.63,486,863,1887,17360,13773,118058,98.74,63.12,1911,27502,12033,8804,14734,7302,780.86,111.95,1541,7864,78857,116364,132470,166232,159.7,149.03,49377,78080,180687,481080,200738,534320,72.45,86.79,249409,554331,8805,218743,16612,244105,46.75,118.9,18833,183965,203549,726727,246382,906280,74.78,93.83,272180,774526,27,4373.3,11,101.63,7,114.6,118123,,0.56,168415,280374,,0.54,452579
Surat,March 2024,,,,,,,,,,150,212,1782,1420,163677,685970,382,102,26055,90204,196910,5334421,674019,338426,2413177,5.75,70.68,14454,23184,2284,3799,118797,265249,32180,45396,11932304,699013,8433568,109672,35672,,182,158,653,993,115.07,14857680.39,993,12911636.91,,5540,6909.18,111,2839.45,6837,32953.55,,,56528,162936.7,0,0,0,0,0,0,1753.94,210,2534.67,874,,,,,,,,,,,,,,,,,,,,,,850,12877,444,30,4842,4331,9830,657,76.34,800,25,5695,130216,7601,150390,40.33,177.07,14121,73541,60490,247193,69958,273239,71.07,66.04,85110,374318,1765,10229,5711,32927,18.53,28.47,9525,35928,69800,417664,231876,2330557,315.48,139.47,22125,299464,58838,58356,100839,49693,262.65,52.68,22402,110781,56372,343989,86118,262341,71.34,253.43,79020,135734,122557,721399,163677,685970,68.76,123.61,178251,583593,111709,5307855,196910,5334421,106.52,276.47,104868,1919840,364669,6515503,699013,8433568,108.16,220.89,337171,2949606,171,7438.54,138,5460.18,233,6042.53,476163,,0.55,743023,1144343,,0.52,1962969
Surendranagar,March 2024,,,,,,,,,,9,76,151,66,164086,498779,79,5,5073,15411,16653,207973,13024,21389,71615,54.34,84.79,5483,13981,862,693,88205,171483,889,1899,917942,202128,778368,17573,7041,,78,73,48,199,87.59,1052983.12,199,1202156.19,,4344,3268.03,14,23.6,49278,183518.93,,,120204,383716.41,993.52,97,222.46,19,55.3,7,731.18,74,464.02,160,,,,,,,,,,,,,,,,,,,,,,791,11475,416,29,3535,4319,7935,81,69.15,750,25,1273,37302,1935,45422,41.22,87.55,3088,42606,120053,327398,118274,366297,90.87,97.37,132117,336247,155,423,473,1715,35.71,26.08,434,1622,1339,11818,8651,65137,92.73,77.76,1444,15199,6915,4708,12265,4763,268.34,161.62,2577,2913,29154,66185,43877,87060,95.78,118.27,30437,55962,150480,430885,164086,498779,90.85,99.1,165642,434815,8329,156018,16653,207973,42.38,126.95,19654,122901,167218,603851,202128,778368,88.12,104.57,189751,577451,5,125.23,4,58.92,4,110.41,154152,,0.6,195280,411368,,0.62,557279
Tapi,March 2024,,,,,,,,,,38,80,118,0,47920,99481,104,88,1656,5569,6085,23819,7090,14002,46745,42.96,73.44,1918,2507,3049,4498,34366,37393,31462,36203,231552,68007,170045,11815,3813,,46,43,0,89,54.35,277560.43,89,510725.13,,2740,2770.54,16,5.42,1132,2393.39,,,17175,18296.78,869.75,58,812.98,52,22.5,2,33.26,4,464.02,160,,,,,,,,,,,,,,,,,,,,,,735,8441,302,26,2454,2899,5498,145,65.13,670,22,747,8436,1395,10719,13.6,34.27,5492,24619,8850,31527,15097,54004,16.58,26.68,53373,118186,98,541,313,1780,15.1,25.96,649,2084,815,4944,4681,42112,161.71,119.65,504,4132,5898,3009,9008,2853,66.48,43.51,8872,6915,16728,21935,31428,34758,43.39,45.35,38553,48373,26325,61898,47920,99481,27.02,32.38,97418,191177,2671,17492,6085,23819,475.27,46.01,562,38020,35807,87884,68007,170045,33.15,36.27,108005,242328,7,89.88,4,32.55,1,4.84,51406,,0.47,81564,165161,,0.55,261249
Vadodara,March 2024,,,,,,,,,,149,79,1201,973,215966,491622,698,335,26397,69046,103423,2070839,1464550,221761,1568788,6.08,51.07,22752,50729,1758,3068,133264,244347,21759,33239,8089587,541150,4131249,87169,35304,,186,65,533,784,64.65,10212790.66,784,15796833.28,,12431,12192.89,63,57.31,7395,27080.2,,,72050,175109.43,3363.47,379,839.92,105,431.54,56,2302.52,240,870.03,300,,,,,,,,,,,,,,,,,,,,,,804,12118,365,26,3668,4964,8907,275,73.5,750,25,4598,78123,6885,111492,79.39,117.53,5792,66470,56507,175925,73857,200036,91.15,113.5,61994,155000,1550,10072,5829,38875,86.4,87.58,1794,11500,25503,235640,140934,1487663,212.28,102.45,12014,230000,36609,80708,74998,42249,438.43,187.26,8350,43100,87939,176866,135224,180094,310.2,272.39,28349,64930,149044,430914,215966,491622,155.04,150.46,96135,286400,54084,2010742,103423,2070839,78.4,182.13,68986,1104000,266790,2768077,541150,4131249,142.46,165.26,187279,1675000,169,13611.35,134,8514.96,67,5802.71,326455,,0.63,444156,755173,,0.59,1140823
Valsad,March 2024,,,,,,,,,,71,165,433,197,75725,130175,150,77,8626,34203,41684,745171,122014,79680,347060,7.5,70.43,4931,7969,2600,3725,47702,69347,44029,49824,1735550,197089,1222406,36847,17322,,88,76,115,279,80.23,2238109.61,279,2789634.77,,5511,3986.03,844,1560.87,2564,5853.16,,,20977,29897.12,1547.43,151,572.76,59,130.16,17,994.16,91,870.03,300,,,,,,,,,,,,,,,,,,,,,,911,11664,402,29,4005,4464,9119,650,78.18,850,27,4272,21759,6403,27469,81.84,109.09,5220,19946,13018,29997,23986,38542,53.06,97.37,24535,30807,399,1705,1287,6216,54.43,35.99,733,4738,11607,52954,43727,315519,212.74,92.97,5456,56958,19833,27030,34666,25325,411.39,364.14,4821,7423,30977,51437,45336,64164,189.26,151.41,16367,33973,48267,103193,75725,130175,104.65,121.8,46122,84726,19806,1095416,41684,745171,174.72,191.09,11336,573244,99912,1280298,197089,1222406,145.93,176.09,68468,727089,37,1284.17,33,841.31,39,584.02,144622,,0.58,208941,362225,,0.56,573329
Ahmadabad,June 2024,,,,,,,,,,91,168,2373,2114,352865,1426076,668,218,50472,159538,300003,7253319,2051472,327864,2861334,4.76,38.55,43623,98842,1036,4261,223499,398427,14221,16772,29936250,980732,11540729,173710,65640,,166,153,1327,1646,98.84,34894209.22,1646,35302764.64,,16969,27737.7,117,203.69,102712,228185.78,,,122811,307991.87,6226.53,463,4468.43,332,201.75,16,1001,74,2784.1,960,,,,,,,,,,,,,,,,,,,,,,11085,3481,229,393,4495,616,77.51,8592,3199,7,1220,54852,476872,61301,785180,100.91,64.16,54360,743253,107086,258926,126919,364655,83.44,73.02,128341,354602,702,2126,8140,53780,35.15,20.24,1997,10506,11938,120314,226867,2642391,13.25,23.51,90100,511755,10691,23281,92857,165163,17.13,15.29,62401,152267,24931,62145,164645,276240,23.2,8.02,107467,775064,186869,797943,352865,1426076,64.4,42.6,290168,1872919,56032,3830890,300003,7253319,38.38,51.86,145984,7387196,266232,4774553,980732,11540729,45.07,48.06,590650,9934644,71,1476.64,58,798.08,32,2262.73,,,,,,,,
Amreli,June 2024,,,,,,,,,,30,80,156,46,159519,592834,462,604,4634,12254,13839,124541,10910,11693,55052,71.31,92.91,3921,7797,521,353,77314,163560,421,1016,831339,185051,772427,11435,4032,,137,77,40,254,81.22,954538.22,254,1175277.8,,4748,6614.77,249,411.15,143497,336363.24,,,189850,436426.31,43.65,6,33.28,4,7.74,1,28.83,5,464.02,160,,,,,,,,,,,,,,,,,,,,,,8189,3540,210,293,2331,0,71.69,5871,2449,7,1050,484,58777,1495,78793,52.67,76.02,919,77317,87376,315908,122543,410681,79.35,79.15,110108,399120,73,136,548,2213,36.5,35.14,200,387,248,1613,5095,48548,31.39,18.34,790,8797,982,1430,6050,4291,13.67,13.79,7181,10371,7465,22748,35481,103360,29.5,31.44,25302,72348,95325,397434,159519,592834,69.92,72.42,136329,548785,3066,76119,13839,124541,37.2,52.01,8242,146366,99694,476732,185051,772427,65.27,66.7,152742,714706,1,14.22,1,14.22,3,1794.35,,,,,,,,
Anand,June 2024,,,,,,,,,,71,195,393,127,283707,427040,844,759,26382,29864,37599,264182,817785,44973,218393,31.39,66.86,11692,14680,1398,1533,217198,264984,9500,4815,1360520,366279,909616,92884,27877,,149,197,81,427,41.76,1788960.75,427,4283426.91,,29199,33285.47,239,455.22,19516,56284.63,,,88801,187575.31,341.7,41,194.27,25,75.25,7,265.98,27,1160.04,400,,,,,,,,,,,,,,,,,,,,,,12140,4653,257,448,4703,190,78.63,9546,2045,8,1080,701,30656,4016,60294,33.7,46.43,2080,66027,21678,67932,87838,189823,36.71,42.0,59058,161736,441,2374,2406,18298,48.89,40.82,902,5816,1093,4971,18870,174916,25.48,19.26,4290,25815,4195,7303,23697,25179,17.38,20.85,24143,35021,29725,47631,191853,176923,23.6,25.92,125927,183728,52104,146219,283707,427040,27.85,35.53,187065,411490,7231,147373,37599,264182,41.17,61.68,17564,238919,65064,308239,366279,909616,27.81,42.99,233964,717062,20,314.12,15,188.04,26,796.98,,,,,,,,
Arvalli,June 2024,,,,,,,,,,28,84,114,2,157344,311434,131,164,40089,54011,8580,65883,11375,10812,59375,68.44,95.97,7114,12563,1882,2478,79529,143969,9820,16149,455015,176736,436692,39349,16366,,88,70,1,159,90.19,579287.68,159,642318.84,,19424,24476.63,17,11.4,14058,109680.97,,,44946,195939.12,251.55,20,171,14,3.05,1,72.87,5,870.03,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,8289,827,19308,41.96,59.59,479,13910,13363,112365,35918,190396,22.41,61.44,59619,182876,24,39,259,1127,24.24,10.37,99,376,254,1820,5456,54514,29.26,24.97,868,7289,1075,1231,5097,3734,25.35,33.28,4240,3699,18904,19048,120599,101730,25.35,23.92,74562,79639,32468,139702,157344,311434,24.11,50.54,134660,276425,1466,35348,8580,65883,36.58,58.29,4008,60639,35287,178140,176736,436692,24.53,51.13,143875,348427,26,217.12,23,186.34,5,56.19,,,,,,,,
Banas Kantha,June 2024,,,,,,,,,,151,179,508,178,347286,1106700,35,74,5603,18829,21802,282396,9222,28358,160408,67.22,94.11,8840,25055,558,674,189454,472331,2494,6396,1646436,397446,1549504,26670,17446,,200,72,85,357,133.45,2071530.61,357,1552302.08,,35079,56512.65,279,407.65,120217,352053.35,,,302596,781474.63,330.58,22,141.75,9,12.44,1,515.2,32,870.03,300,,,,,,,,,,,,,,,,,,,,,,11151,3661,293,374,4217,297,73.31,8175,3252,10,1120,777,100319,2180,154328,53.55,66.63,1451,150559,127568,346486,223447,693993,46.39,51.45,274996,673497,89,186,605,3093,32.36,17.17,275,1083,664,5459,14416,151451,17.45,19.49,3805,28003,2759,1813,13337,5865,19.03,25.61,14496,7080,18106,42898,121659,258380,24.26,20.67,74635,207543,146451,489703,347286,1106700,41.71,47.47,351082,1031599,3967,154492,21802,282396,42.64,65.67,9303,235243,153930,651651,397446,1549504,40.62,50.01,378961,1303007,9,52.85,9,56.78,5,31.27,,,,,,,,
Bharuch,June 2024,,,,,,,,,,85,194,421,142,112510,258968,85,27,17288,60905,38670,631438,111915,66436,393196,14.97,74.21,7511,12608,1902,2720,70190,131377,20051,24207,1729700,217616,1283602,30152,14590,,136,111,76,323,70.6,2210189.08,323,3130792.93,,9949,10231.51,38,1991.02,26206,58697.9,,,59881,142563.5,1858.43,126,1709.49,116,107.58,7,120.16,8,870.03,300,,,,,,,,,,,,,,,,,,,,,,12277,4525,223,421,4158,163,72.05,8846,887,7,1150,737,14913,1853,30380,34.63,63.3,2128,23558,28999,66523,58886,148061,56.18,51.54,51618,129069,130,394,1243,7025,29.21,17.72,445,2223,1672,12588,42046,377939,14.71,20.13,11369,62538,3397,2141,23147,8233,18.14,21.31,18725,10049,10248,17993,51771,80526,28.28,20.54,36236,87583,39984,99429,112510,258968,44.44,41.39,89982,240210,7084,293135,38670,631438,39.55,48.58,17910,603413,52267,407688,217616,1283602,37.76,44.39,138431,918434,47,630.32,39,490.09,32,395.5,,,,,,,,
Bhavnagar,June 2024,,,,,,,,,,41,74,277,162,169935,491304,62,28,8450,42393,41906,498408,53111,52747,245905,31.74,79.84,3473,10980,810,804,78669,208699,575,1137,1547706,264588,1235618,19958,6307,,122,74,121,317,80.3,1912513.83,317,2381577.61,,4536,5075.45,241,303.84,92944,188629.98,,,132039,291792.21,52.43,4,22.5,2,17.43,1,179.06,16,1160.04,400,,,,,,,,,,,,,,,,,,,,,,11095,4446,236,401,4077,182,78.46,8705,1824,7,1050,751,89107,2008,133492,48.89,65.15,1536,136776,92109,183319,125414,281880,98.81,64.28,93221,285203,171,260,1248,5662,41.91,22.67,408,1147,1857,9056,30044,212201,12.61,21.94,14722,41282,6210,10548,21455,28043,32.92,12.86,18864,82051,9672,17634,42513,75933,31.25,24.21,30946,72832,102532,290059,169935,491304,81.57,58.62,125703,494811,7501,339693,41906,498408,43.13,62.08,17390,547173,118271,649616,264588,1235618,66.79,55.69,177087,1166464,9,198.12,9,198.12,6,176.37,,,,,,,,
Botad,June 2024,,,,,,,,,,3,24,57,30,85171,215913,44,45,1988,2516,6738,43236,2304,10239,20177,76.03,98.36,1523,2570,312,147,44581,105196,366,623,283988,102148,279326,7781,2497,,41,22,31,94,98.27,330759.51,94,336570.63,,2605,2522.15,4,2.99,47735,101942.3,,,61505,138188.91,35,2,17.5,1,0,0,89.25,6,406.01,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6062,42990,6711,48122,89.45,84.38,6777,50948,49209,101792,63503,142064,104.15,73.03,47250,139382,17,18,99,400,42.5,24,40,75,222,706,2249,11409,24.13,21.52,920,3280,1933,2739,7891,8368,34.18,11.97,5655,22889,4017,7550,14957,25727,32.93,34.91,12200,21629,59288,152332,85171,215913,89.52,71.87,66227,211959,1040,19528,6738,43236,38.17,62.3,2725,31344,62500,175322,102148,279326,82.71,65.04,75567,269547,4,40.34,1,14.1,3,26.24,,,,,,,,
